input1	input2	input3	label
a	l	classic	calssic
a	b	basis	absis
a	o	command	cammond
e	t	cities	cieits
w	m	william	milliaw
r	p	express	exrpess
l	n	anal	alan
r	w	award	arawd
e	t	distance	diseanct
r	t	tree	rtee
t	r	peter	peret
n	a	assessment	nssessmeat
s	u	ensure	enusre
t	s	thus	shut
a	w	wall	awll
i	e	involved	envolvid
x	a	extra	eatrx
s	c	especially	ecpesially
n	i	interface	niterface
u	y	pussy	pyssu
a	p	partners	aprtners
b	g	budget	gudbet
t	a	rated	rtaed
i	u	guides	giudes
e	u	success	seccuss
i	x	maximum	maixmum
n	a	operation	operntioa
e	t	existing	txiseing
t	u	quite	qtiue
d	s	selected	delectes
o	b	boy	oby
n	m	amazon	anazom
p	a	patients	aptients
u	e	restaurants	rustaerants
i	e	beautiful	biauteful
i	w	warning	iarnwng
n	e	wine	wien
c	s	locations	losationc
r	s	horse	hosre
o	v	vote	ovte
f	d	forward	dorwarf
f	r	flowers	rlowefs
a	r	stars	stras
f	a	significant	signiaicfnt
l	i	lists	ilsts
c	s	technologies	teshnologiec
o	w	owner	woner
a	t	retail	reatil
n	l	animals	alimans
e	s	useful	uesful
d	t	directly	tirecdly
n	e	manufacturer	maeufacturnr
y	w	ways	yaws
s	t	est	ets
o	s	son	osn
g	o	providing	prgvidino
l	u	rule	rlue
a	c	mac	mca
o	n	housing	hnusiog
s	t	takes	saket
m	t	gmt	gtm
n	g	bring	brign
l	o	catalog	cataolg
c	h	searches	searhces
m	x	max	xam
t	i	trying	irytng
m	o	mother	omther
i	u	authority	aithoruty
i	s	considered	conisdered
l	t	told	lotd
m	l	xml	xlm
i	c	traffic	traffci
g	p	programme	gropramme
d	e	joined	joinde
n	i	input	niput
e	r	strategy	steatrgy
t	f	feet	teef
n	t	agent	agetn
l	i	valid	vaild
b	n	bin	nib
m	e	modern	eodmrn
e	i	senior	sineor
d	r	ireland	idelanr
e	s	sexy	esxy
h	n	teaching	teacnihg
d	r	door	rood
n	g	grand	nragd
i	e	testing	tisteng
r	l	trial	tliar
c	r	charge	rhacge
n	i	units	uints
t	i	instead	tnsiead
i	d	canadian	canaidan
l	c	cool	looc
n	m	normal	mornal
e	o	wrote	wreto
n	s	enterprise	esterprine
i	h	ships	sihps
r	i	entire	entrie
n	e	educational	nducatioeal
e	d	leading	ldaeing
t	m	metal	temal
t	p	positive	tosipive
t	f	fitness	tifness
h	n	chinese	cnihese
s	i	asia	aisa
a	t	football	fooabtll
r	s	abstract	abrtsact
e	u	uses	esus
o	p	output	putout
d	u	funds	fdnus
t	g	greater	treager
y	k	likely	liyelk
l	p	develop	devepol
s	o	employees	emplsyeeo
r	a	artists	ratists
n	l	alternative	anterlative
p	i	processing	irocesspng
t	r	responsibility	tesponsibiliry
i	l	resolution	resoiutlon
j	v	java	vaja
s	u	guest	gseut
p	l	publication	lubpication
a	p	pass	apss
l	e	relations	rleations
s	r	trust	tsurt
n	a	van	vna
a	t	contains	conatins
n	e	session	snssioe
l	t	multi	mutli
r	t	photography	phorogtaphy
b	p	republic	rebuplic
s	f	fees	seef
e	s	components	componsnte
i	o	vacation	vacatoin
e	r	century	crntuey
d	e	academic	acaedmic
n	e	assistance	assistaecn
o	p	completed	cpmoleted
k	s	skin	ksin
h	p	graphics	grahpics
a	d	indian	inaidn
e	v	prev	prve
a	d	ads	das
r	y	mary	mayr
x	t	expected	etpecxed
i	g	ring	rgni
g	r	grade	rgade
d	n	dating	natidg
f	p	pacific	facipic
u	m	mountain	uomntain
t	z	organizations	organitazions
l	f	filter	lifter
l	a	mailing	mliaing
i	c	vehicle	vehcile
g	e	longer	lonegr
e	o	consider	censidor
t	n	int	itn
h	o	northern	nhrtoern
d	h	behind	bedinh
e	p	panel	eanpl
f	l	floor	lfoor
e	g	german	egrman
i	b	buying	iuybng
m	t	match	tamch
e	s	proposed	propoesd
l	e	default	dlfauet
q	u	require	reuqire
q	r	iraq	iqar
o	y	boys	byos
d	u	outdoor	odtuoor
d	p	deep	peed
g	m	morning	gorninm
r	i	otherwise	otheiwrse
w	a	allows	wlloas
e	s	rest	rset
t	r	protein	ptorein
n	t	plant	platn
p	d	reported	redortep
t	h	hit	tih
p	s	transportation	tranpsortation
l	p	pool	loop
n	m	mini	nimi
l	t	politics	potilics
e	n	partner	partenr
d	e	disclaimer	eisclaimdr
o	u	authors	aothurs
d	s	boards	boarsd
c	f	faculty	cafulty
p	s	parties	sartiep
s	f	fish	sifh
p	r	membership	membepshir
n	o	mission	missino
n	r	string	stnirg
m	o	modified	omdified
c	p	pack	capk
s	a	released	relesaed
s	g	stage	gtase
t	l	internal	inlernat
d	g	goods	doogs
n	c	recommended	renommecded
n	b	born	norb
u	e	unless	enluss
h	a	richard	ricahrd
a	l	detailed	detliaed
j	p	japanese	pajanese
a	c	race	rcae
v	o	approved	apprvoed
k	o	background	bacogrkund
r	e	target	taegrt
p	x	except	epcext
t	h	character	ctaracher
u	b	usb	bsu
c	t	maintenance	maincenante
b	y	ability	ayilitb
y	e	maybe	maeby
s	o	functions	functisno
v	i	moving	moivng
s	d	brands	bransd
l	a	places	palces
e	y	pretty	prytte
s	k	trademarks	trademarsk
p	h	phentermine	hpentermine
i	p	spain	siapn
t	o	southern	stuohern
e	l	yourself	yourslef
c	e	etc	cte
t	w	winter	tinwer
e	r	rape	eapr
r	b	battery	ratteby
t	u	youth	yotuh
p	u	pressure	uresspre
e	s	submitted	eubmittsd
n	b	boston	nostob
t	i	incest	tncesi
b	d	debt	bedt
k	e	keywords	ekywords
e	d	medium	mdeium
o	v	television	teleoisivn
i	d	interested	dnterestei
c	r	core	roce
k	b	break	kreab
e	r	purposes	pueposrs
r	g	throughout	thgourhout
t	e	sets	stes
c	d	dance	cande
d	w	wood	doow
m	s	msn	smn
i	l	itself	ltseif
f	i	defined	deifned
r	a	papers	prpeas
i	g	playing	playgni
d	s	awards	awarsd
o	s	studio	otudis
d	a	reader	redaer
r	i	virtual	vritual
i	c	device	devcie
t	a	established	esatblished
e	a	answers	enswars
e	t	rent	rtne
l	a	las	als
m	t	remote	retome
k	d	dark	kard
n	i	programming	programmnig
a	l	external	externla
l	e	apple	appel
a	e	regarding	ragerding
u	r	instructions	insturctions
n	i	min	mni
r	o	offered	rffeoed
t	y	theory	yheort
j	n	enjoy	ejnoy
v	r	remove	vemore
d	i	aid	adi
f	e	surface	sureacf
u	n	minimum	miuimnm
a	u	visual	visaul
s	t	host	hots
e	y	variety	variyte
t	h	teachers	heacters
n	i	isbn	nsbi
a	r	martin	mratin
m	u	manual	uanmal
l	k	block	bkocl
u	c	subjects	scbjeuts
n	t	agents	agetns
a	d	increased	incredsea
i	p	repair	reiapr
a	i	fair	fiar
l	c	civil	livic
s	l	steel	ltees
e	i	understanding	undirstandeng
n	g	songs	sogns
f	x	fixed	xifed
g	w	wrong	gronw
b	e	beginning	ebginning
h	a	hands	ahnds
t	i	associates	assoctaies
f	y	finally	yinallf
a	u	updates	apdutes
k	t	desktop	destkop
e	l	classes	ceassls
s	i	paris	parsi
i	h	ohio	oiho
g	e	gets	egts
e	r	sector	srctoe
i	p	capacity	caiacpty
q	u	requires	reuqires
j	s	jersey	serjey
a	t	fat	fta
u	f	fully	uflly
f	r	father	rathef
i	l	electric	eiectrlc
s	a	saw	asw
m	i	instruments	mnstruients
o	u	quotes	qoutes
c	e	officer	offiecr
v	e	driver	drievr
i	b	businesses	iusbnesses
e	a	dead	daed
c	p	respect	rescept
o	u	unknown	onknuwn
d	s	specified	dpecifies
u	e	restaurant	rustaerant
e	i	mike	meki
r	p	trip	tpir
t	p	pst	tsp
r	t	worth	wotrh
d	o	procedures	prdceoures
p	r	poor	roop
h	c	teacher	teahcer
y	s	eyes	esey
e	o	relationship	rolatienship
k	w	workers	korwers
f	a	farm	afrm
g	k	fucking	fucgink
o	i	georgia	geirgoa
c	p	peace	ceape
l	d	traditional	tralitionad
s	u	campus	campsu
o	m	tom	tmo
o	g	showing	shgwino
v	c	creative	vreatice
a	t	coast	cotsa
i	t	benefit	benefti
e	p	progress	erogrpss
d	i	funding	funidng
s	i	devices	devscei
d	l	lord	dorl
t	r	grant	gtanr
u	b	sub	sbu
r	g	agree	argee
o	t	fiction	ficoitn
a	r	hear	hera
t	i	sometimes	someitmes
t	w	watches	tawches
a	s	careers	csreera
d	b	beyond	deyonb
g	s	goes	soeg
s	e	families	familise
e	d	led	lde
e	s	museum	muesum
t	m	themselves	mhetselves
n	a	fan	fna
o	n	transport	traospnrt
g	r	interesting	integestinr
s	b	blogs	slogb
e	w	wife	eifw
l	o	evaluation	evaouatiln
d	t	accepted	accepdet
e	f	former	eormfr
l	a	implementation	impaementltion
n	e	ten	tne
i	h	hits	ihts
z	e	zone	eonz
p	e	complex	comelpx
c	t	cat	tac
a	i	galleries	gilleraes
f	n	references	renerefces
i	d	die	ide
t	n	presented	presetned
a	k	jack	jkca
a	f	flat	alft
l	w	flow	fwol
a	s	agencies	sgenciea
l	u	literature	uiteratlre
v	p	respective	resvectipe
e	a	parent	perant
h	a	spanish	sphnisa
c	g	michigan	mighican
c	u	columbia	uolcmbia
s	e	setting	estting
l	s	scale	lcase
t	d	stand	sdant
e	c	economy	ceonomy
i	s	highest	hsgheit
h	u	helpful	uelpfhl
o	t	monthly	mtnohly
r	l	critical	cliticar
a	e	frame	frema
m	i	musical	iusmcal
e	f	definition	dfeinition
c	a	secretary	searetcry
g	l	angeles	anleges
e	i	networking	nitworkeng
t	p	path	taph
u	i	australian	aistraluan
m	l	employee	elpmoyee
h	c	chief	hcief
g	s	gives	siveg
m	b	bottom	mottob
m	z	magazines	zagamines
e	k	packages	paceagks
e	a	detail	dateil
s	a	francisco	frsnciaco
s	w	laws	lasw
e	d	changed	changde
t	e	pet	pte
r	d	heard	headr
n	e	begin	bngie
l	v	individuals	indiliduavs
r	c	colorado	rolocado
y	l	royal	rolay
e	n	clean	clnae
w	s	switch	wsitch
i	u	russian	rissuan
e	l	largest	earglst
n	f	african	anricaf
g	u	guy	ugy
e	l	titles	titels
t	a	relevant	relevtna
u	n	guidelines	gnideliues
s	u	justice	jsutice
o	e	connect	cennoct
i	e	bible	bebli
e	v	dev	dve
u	c	cup	ucp
k	b	basket	kasbet
d	i	applied	appldei
k	w	weekly	keewly
l	v	vol	lov
s	o	installation	inotallatisn
c	b	described	desbriced
a	n	demand	demnad
t	s	suite	tuise
e	g	vegas	vgeas
e	q	square	seuarq
r	i	chris	chirs
a	e	attention	ettantion
n	d	advance	anvadce
p	k	skip	spik
i	e	diet	deit
m	r	army	amry
i	n	auction	auctnoi
r	e	gear	grae
r	n	difference	diffenerce
w	a	allowed	wlloaed
t	e	correct	corrtce
h	e	charles	cearlhs
a	i	nation	nitaon
g	s	selling	gellins
t	o	lots	ltos
i	c	piece	pceie
s	t	sheet	thees
f	i	firm	ifrm
s	v	seven	vesen
d	o	older	dloer
s	o	illinois	illinsio
e	i	regulations	rigulateons
m	t	elements	eletenms
i	c	species	speices
u	p	jump	jpmu
c	e	cells	eclls
d	e	module	moeuld
t	s	resort	retors
l	y	facility	faciyitl
r	o	random	oandrm
p	r	pricing	rpicing
v	s	dvds	dsdv
f	r	certificate	ceftiricate
e	m	minister	einistmr
m	i	motion	iotmon
s	k	looks	loosk
a	h	fashion	fhsaion
c	t	directions	diretcions
r	v	visitors	risitovs
u	i	documentation	docimentatuon
r	i	monitor	monrtoi
i	n	trading	tradnig
t	o	forest	ftreso
c	a	calls	aclls
w	h	whose	hwose
v	g	coverage	cogerave
o	c	couple	ocuple
n	v	giving	ginivg
a	h	chance	cahnce
n	o	vision	visino
a	b	ball	abll
d	g	ending	engind
n	t	clients	clietns
c	n	actions	antiocs
n	l	listen	nistel
d	i	discuss	idscuss
p	a	accept	pcceat
m	v	automotive	autovotime
d	e	naked	nakde
g	l	goal	loag
e	f	successful	succfsseul
o	l	sold	slod
w	i	wind	iwnd
c	n	communities	nommucities
n	a	clinical	cliaicnl
u	o	situation	sitoatiun
n	i	sciences	scneices
m	s	markets	sarketm
o	s	lowest	lsweot
g	i	highly	hgihly
h	l	publishing	pubhisling
e	r	appear	apprae
n	g	emergency	emernegcy
o	d	developing	oeveldping
s	l	lives	sivel
e	u	currency	cerruncy
h	r	leather	leatreh
t	m	determine	demertine
m	f	milf	film
u	a	temperature	temperutare
p	l	palm	lapm
t	u	announcements	annotncemenus
i	n	patient	patneit
t	l	actual	acluat
s	a	historical	hiatoricsl
t	e	stone	seont
o	r	commerce	crmmeoce
e	s	ringtones	ringtonse
e	s	perhaps	psrhape
n	o	persons	persnos
t	u	difficult	diffictlu
t	n	scientific	scietnific
a	s	satellite	astellite
t	i	fit	fti
a	i	village	vallige
u	o	accounts	accuonts
e	m	amateur	aeatmur
t	e	met	mte
i	p	pain	iapn
o	b	xbox	xobx
p	i	particularly	iartpcularly
r	f	factors	ractofs
o	c	coffee	ocffee
g	e	settings	sgttines
u	m	cum	cmu
u	e	buyer	beyur
r	a	cultural	cultuarl
t	v	steve	svete
a	s	easily	esaily
r	a	oral	oarl
r	f	ford	rofd
e	p	poster	eostpr
d	g	edge	egde
i	t	functional	funcitonal
t	r	root	toor
c	d	closed	dlosec
i	y	holidays	holydais
e	c	ice	iec
i	p	pink	ipnk
z	e	zealand	ezaland
n	l	balance	banalce
g	r	monitoring	monitoginr
d	g	graduate	draguate
l	r	replies	lepries
h	s	shot	hsot
u	i	architecture	archutectire
a	n	initial	iaitinl
e	b	label	laebl
g	h	thinking	tginkinh
s	c	scott	csott
c	e	sec	sce
c	d	recommend	redommenc
a	o	canon	conan
d	a	hardcore	hdracore
g	u	league	leauge
w	s	waste	sawte
i	u	minute	munite
s	b	bus	sub
d	p	provider	droviper
t	p	optional	otpional
o	y	dictionary	dictiynaro
d	c	cold	dolc
u	t	accounting	accotnuing
m	t	manufacturing	tanufacmuring
t	n	sections	secniots
a	i	chair	chiar
s	h	fishing	fihsing
t	o	effort	efftro
s	h	phase	psahe
f	s	fields	sieldf
b	a	bag	abg
s	t	fantasy	fansaty
l	s	letters	setterl
m	t	motor	tomor
f	e	professor	proefssor
o	n	context	cnotext
i	t	install	tnsiall
r	s	shirt	rhist
e	l	apparel	apparle
r	g	generally	renegally
o	e	continued	centinuod
t	f	foot	toof
m	a	mass	amss
r	c	crime	rcime
t	o	count	ctuno
b	r	breast	rbeast
h	n	techniques	tecnhiques
m	b	ibm	imb
h	s	johnson	josnhon
y	k	quickly	quicylk
s	r	dollars	dollasr
i	b	websites	weisbtes
n	g	religion	reliniog
m	a	claim	clmia
d	n	driving	nrividg
r	p	permission	repmission
e	s	surgery	eurgsry
c	t	patch	pacth
h	e	heat	ehat
w	d	wild	dilw
r	u	measures	measrues
o	r	generation	geneoatirn
k	n	kansas	naksas
m	i	miss	imss
m	l	chemical	chelicam
t	c	doctor	dotcor
t	k	task	kast
d	c	reduce	recude
h	u	brought	brohgut
f	h	himself	fimselh
r	o	nor	nro
p	m	component	copmonent
l	b	enable	enalbe
s	x	exercise	esercixe
b	g	bug	gub
s	n	santa	nasta
m	d	mid	dim
u	g	guarantee	ugarantee
d	a	leader	ledaer
n	o	diamond	diamnod
e	r	israel	isearl
o	r	processes	porcesses
s	t	soft	tofs
l	a	alone	laone
m	n	meetings	neetimgs
d	e	seconds	sdcones
e	s	jones	jonse
r	o	arizona	aoizrna
y	k	keyword	yekword
r	n	interests	irtenests
f	t	flight	tlighf
r	n	congress	corgness
e	f	fuel	eufl
u	a	username	asernume
k	a	walk	wkla
f	k	fuck	kucf
u	e	produced	prodecud
n	t	italian	inaliat
b	e	paperback	papbreack
l	e	classifieds	ceassifilds
i	w	wait	iawt
d	e	supported	supportde
e	o	pocket	peckot
t	a	saint	stina
r	o	rose	orse
f	o	freedom	oreedfm
g	t	argument	artumeng
p	n	competition	comnetitiop
a	t	creating	cretaing
i	j	jim	ijm
u	g	drugs	drgus
n	i	joint	jonit
e	r	premium	permium
d	i	providers	provdiers
h	r	fresh	fhesr
h	s	characters	csaracterh
n	r	attorney	attonrey
r	a	upgrade	upgarde
t	f	factor	tacfor
n	r	growing	gnowirg
t	a	thousands	ahoustnds
t	a	stream	saretm
e	p	apartments	aeartmpnts
c	k	pick	pikc
h	e	hearing	eharing
a	r	eastern	erstean
i	c	auctions	auitcons
e	h	therapy	tehrapy
n	s	entries	estrien
e	d	dates	eatds
n	t	generated	geteraned
s	n	signed	nigsed
u	r	upper	rppeu
v	m	administrative	advinistratime
e	i	serious	sireous
p	e	prime	erimp
a	n	samsung	snmsuag
l	m	limit	milit
b	n	began	negab
u	l	louis	uolis
p	e	steps	stpes
o	e	errors	orrers
h	p	shops	spohs
b	a	bondage	aondbge
e	l	del	dle
r	o	efforts	effrots
r	o	informed	infromed
g	u	thoughts	thoguhts
c	k	creek	kreec
o	e	worked	werkod
q	y	quantity	yuantitq
a	u	urban	arbun
s	r	practices	psacticer
t	o	sorted	stroed
e	t	reporting	rtporeing
t	i	essential	essenital
l	y	myself	mlseyf
t	r	tours	routs
l	f	platform	pfatlorm
a	o	load	laod
t	e	affiliate	affiliaet
r	o	labor	labro
l	y	immediately	immediateyl
d	a	admin	damin
r	u	nursing	nrusing
d	f	defense	fedense
e	i	machines	machenis
g	a	designated	desiangted
g	a	tags	tgas
e	a	heavy	haevy
v	o	covered	cvoered
v	o	recovery	recvoery
j	o	joe	oje
g	s	guys	suyg
a	i	integrated	antegrited
f	u	configuration	conuigfration
o	k	cock	ckco
r	c	merchant	mecrhant
m	p	comprehensive	copmrehensive
r	p	expert	exrept
s	v	universal	uniserval
c	o	protect	prcteot
o	d	drop	ordp
l	o	solid	sloid
d	c	cds	dcs
o	r	presentation	poesentatirn
e	n	languages	laeguagns
c	m	became	bemace
r	o	orange	roange
i	m	compliance	coiplmance
h	c	vehicles	vecihles
p	n	prevent	nrevept
h	t	theme	hteme
i	h	rich	rhci
n	m	campaign	canpaigm
r	a	marine	mraine
t	r	improvement	imptovemenr
u	g	guitar	ugitar
g	f	finding	gindinf
i	v	pennsylvania	pennsylianva
m	a	examples	exmaples
d	p	ipod	idop
y	n	saying	saniyg
p	s	spirit	psirit
m	c	claims	mlaics
r	p	porno	ropno
a	h	challenge	cahllenge
t	r	motorola	morotola
t	p	acceptance	accetpance
r	i	strategies	stiategres
m	s	seem	mees
s	i	affairs	affasri
u	c	touch	tocuh
t	i	intended	tniended
r	o	towards	trwaods
g	s	goals	soalg
r	e	hire	hier
i	n	election	electnoi
u	e	suggest	seggust
h	a	branch	brhnca
s	a	charges	chsrgea
s	v	serve	verse
e	l	affiliates	affieiatls
e	r	reasons	erasons
c	g	magic	macig
t	n	mount	moutn
a	s	smart	amsrt
a	k	talking	tklaing
e	v	gave	gaev
s	e	ones	onse
l	a	latin	altin
u	a	multimedia	maltimediu
s	i	tits	tsti
o	v	avoid	aovid
t	d	certified	cerdifiet
g	e	manage	manaeg
o	n	corner	cnroer
a	k	rank	rkna
m	u	computing	coupmting
n	e	oregon	orngoe
n	m	element	elenemt
i	b	birth	ibrth
r	s	virus	visur
s	u	abuse	absue
n	v	interactive	ivteractine
q	t	requests	retuesqs
s	t	separate	teparase
q	a	quarter	auqrter
u	c	procedure	prouedcre
i	h	leadership	leadersihp
l	e	tables	tabels
i	d	define	iefdne
g	n	racing	racign
u	r	religious	ueligiors
t	a	facts	ftcas
e	f	breakfast	brfakeast
g	k	kong	gonk
o	l	column	cloumn
p	l	plants	lpants
h	a	faith	fhita
c	i	chain	ihacn
o	l	developer	deveolper
d	e	identify	iedntify
n	u	avenue	aveune
g	m	missing	gissinm
e	i	died	deid
m	r	approximately	appmoxirately
s	e	domestic	domsetic
i	e	sitemap	setimap
c	i	recommendations	reiommendatcons
e	v	moved	moevd
t	h	houston	toushon
c	e	reach	rcaeh
i	n	comparison	comparnsoi
m	l	mental	lentam
d	v	viewed	diewev
n	e	moment	momnet
t	n	extended	exnetded
q	n	sequence	senueqce
h	n	inch	ihcn
c	k	attack	attakc
y	o	sorry	syrro
t	r	centers	cenrets
i	e	opening	opineng
e	d	damage	eamagd
a	b	lab	lba
v	s	reserve	reverse
s	r	recipes	seciper
c	s	cvs	svc
c	i	plastic	plastci
p	e	produce	eroducp
o	s	snow	onsw
e	l	placed	peacld
u	r	truth	turth
o	n	counter	cnuoter
i	a	failure	fialure
s	f	follows	sollowf
n	w	weekend	neekewd
o	d	dollar	odllar
p	a	camp	cpma
a	i	ontario	ontirao
c	u	automatically	actomatiually
e	s	des	dse
o	m	minnesota	oinnesmta
i	f	films	iflms
r	g	bridge	bgidre
v	n	native	vatine
f	i	fill	ifll
a	m	williams	willimas
o	n	movement	mnvemeot
p	g	printing	grintinp
e	s	baseball	baesball
d	e	owned	ownde
l	o	approval	apprlvao
r	a	draft	darft
c	t	chart	tharc
d	e	played	playde
s	o	contacts	csntacto
j	u	jesus	uesjs
s	d	readers	reaserd
s	l	clubs	csubl
l	d	lcd	dcl
c	o	jackson	jaokscn
a	q	equal	eauql
d	a	adventure	daventure
a	m	matching	amtching
g	r	offering	offeginr
h	t	shirts	stirhs
t	f	profit	protif
s	r	leaders	leadesr
t	p	posters	tospers
u	o	institutions	institotiuns
n	i	assistant	assnstait
l	r	variable	valiabre
v	a	ave	vae
d	s	advertisement	asvertidement
t	x	expect	etpecx
k	g	parking	pargink
d	s	headlines	heaslined
a	r	yesterday	yesteadry
e	o	compared	cemparod
m	i	determined	deterimned
s	a	wholesale	wholeasle
k	s	workshop	worskhop
u	i	russia	rissua
o	g	gone	ogne
e	d	codes	coeds
n	d	kinds	kidns
i	t	extension	exienston
s	l	seattle	leattse
m	n	statements	statenemts
