input1	input2	label
s	hits	hit
z	zone	one
p	complex	comlex
a	cat	ct
l	galleries	gaeries
s	references	reference
d	die	ie
n	presented	preseted
j	jack	ack
a	flat	flt
o	flow	flw
i	agencies	agences
t	literature	lieraure
t	respective	respecive
a	parent	prent
p	spanish	sanish
g	michigan	michian
o	columbia	clumbia
n	setting	settig
c	scale	sale
s	stand	tand
m	economy	econoy
h	highest	igest
l	helpful	hepfu
m	monthly	onthly
t	critical	criical
r	frame	fame
s	musical	muical
d	definition	efinition
t	secretary	secreary
n	angeles	ageles
t	networking	neworking
t	path	pah
i	australian	australan
y	employee	emploee
h	chief	cief
g	gives	ives
o	bottom	bttm
m	magazines	agazines
p	packages	ackages
e	detail	dtail
a	francisco	frncisco
w	laws	las
d	changed	change
p	pet	et
h	heard	eard
n	begin	begi
n	individuals	idividuals
l	colorado	coorado
o	royal	ryal
l	clean	cean
i	switch	swtch
n	russian	russia
l	largest	argest
f	african	arican
y	guy	gu
s	titles	title
n	relevant	relevat
s	guidelines	guideline
e	justice	justic
n	connect	coect
l	bible	bibe
e	dev	dv
p	cup	cu
t	basket	baske
e	applied	applid
k	weekly	weely
l	vol	vo
o	installation	installatin
r	described	descibed
e	demand	dmand
e	suite	suit
a	vegas	vegs
u	square	sqare
i	chris	chrs
o	attention	attentin
v	advance	adance
p	skip	ski
e	diet	dit
m	army	ary
n	auction	auctio
a	gear	ger
l	lee	ee
d	difference	ifference
o	allowed	allwed
t	correct	correc
c	charles	harles
a	nation	ntion
s	selling	elling
o	lots	lts
i	piece	pece
h	sheet	seet
m	firm	fir
n	seven	seve
r	older	olde
l	illinois	iinois
l	regulations	reguations
l	elements	eements
c	species	speies
j	jump	ump
e	cells	clls
e	module	modul
t	resort	resor
f	facility	acility
r	random	andom
g	pricing	pricin
v	dvds	dds
f	certificate	certiicate
n	minister	miister
o	motion	mtin
s	looks	look
n	fashion	fashio
d	directions	irections
s	visitors	viitor
i	documentation	documentaton
m	monitor	onitor
g	trading	tradin
t	forest	fores
c	calls	alls
w	whose	hose
o	coverage	cverage
u	couple	cople
g	giving	ivin
e	chance	chanc
o	vision	visin
b	ball	all
i	ending	endng
n	clients	cliets
i	actions	actons
n	listen	liste
i	discuss	dscuss
p	accept	accet
i	automotive	automotve
d	naked	nake
o	goal	gal
f	successful	successul
d	sold	sol
d	wind	win
n	communities	commuities
a	clinical	clinicl
a	situation	sitution
s	sciences	cience
t	markets	markes
s	lowest	lowet
y	highly	highl
l	publishing	pubishing
e	appear	appar
r	emergency	emegency
d	developing	eveloping
s	lives	live
y	currency	currenc
a	leather	lether
e	determine	dtrmin
f	milf	mil
u	temperature	temperatre
l	palm	pam
o	announcements	annuncements
p	patient	atient
t	actual	acual
l	historical	historica
o	stone	stne
o	bob	bb
m	commerce	coerce
g	ringtones	rintones
h	perhaps	peraps
e	persons	prsons
t	difficult	difficul
s	scientific	cientific
s	satellite	atellite
f	fit	it
s	tests	tet
g	village	villae
o	accounts	accunts
e	amateur	amatur
m	met	et
n	pain	pai
o	xbox	xbx
y	particularly	particularl
a	factors	fctors
o	coffee	cffee
w	www	
e	settings	sttings
c	cum	um
e	buyer	buyr
r	cultural	cultual
t	steve	seve
l	easily	easiy
o	oral	ral
f	ford	ord
p	poster	oster
e	edge	dg
f	functional	unctional
t	root	roo
d	closed	close
i	holidays	holdays
i	ice	ce
n	pink	pik
z	zealand	ealand
c	balance	balane
m	monitoring	onitoring
g	graduate	raduate
i	replies	reples
s	shot	hot
a	architecture	rchitecture
t	initial	iniial
e	label	labl
g	thinking	thinkin
o	scott	sctt
l	llc	c
c	sec	se
m	recommend	recoend
n	canon	cao
c	hardcore	hardore
l	league	eague
e	waste	wast
u	minute	minte
b	bus	us
v	provider	proider
p	optional	otional
y	dictionary	dictionar
d	cold	col
g	accounting	accountin
t	manufacturing	manufacuring
t	sections	secions
i	chair	char
f	fishing	ishing
r	effort	effot
e	phase	phas
s	fields	field
b	bag	ag
f	fantasy	antasy
t	letters	leers
o	motor	mtr
p	professor	rofessor
n	context	cotext
s	install	intall
s	shirt	hirt
e	apparel	apparl
r	generally	geneally
e	continued	continud
f	foot	oot
m	mass	ass
m	crime	crie
n	count	cout
s	breast	breat
e	techniques	tchniqus
b	ibm	im
o	johnson	jhnsn
k	quickly	quicly
l	dollars	doars
s	websites	webite
g	religion	reliion
c	claim	laim
v	driving	driing
o	permission	permissin
e	surgery	surgry
t	patch	pach
t	heat	hea
i	wild	wld
m	measures	easures
n	generation	geeratio
s	kansas	kana
m	miss	iss
h	chemical	cemical
r	doctor	docto
a	task	tsk
d	reduce	reuce
o	brought	brught
e	himself	himslf
n	nor	or
t	component	componen
e	enable	nabl
x	exercise	eercise
b	bug	ug
a	santa	snt
d	mid	mi
n	guarantee	guaratee
a	leader	leder
a	diamond	dimond
i	israel	srael
c	processes	proesses
f	soft	sot
e	servers	srvrs
e	alone	alon
g	meetings	meetins
s	seconds	econd
n	jones	joes
r	arizona	aizona
d	keyword	keywor
i	interests	nterests
t	flight	fligh
c	congress	ongress
e	fuel	ful
s	username	uername
k	walk	wal
k	fuck	fuc
c	produced	produed
i	italian	talan
a	paperback	pperbck
d	classifieds	classifies
w	wait	ait
e	supported	supportd
c	pocket	poket
i	saint	sant
e	rose	ros
d	freedom	freeom
g	argument	arument
t	competition	compeiion
i	creating	creatng
j	jim	im
d	drugs	rugs
t	joint	join
i	premium	premum
d	providers	proviers
s	fresh	freh
a	characters	chrcters
t	attorney	aorney
r	upgrade	upgade
f	factor	actor
o	growing	grwing
n	thousands	thousads
r	stream	steam
s	apartments	apartment
i	pick	pck
g	hearing	hearin
e	eastern	astrn
u	auctions	actions
y	therapy	therap
i	entries	entres
d	dates	ates
t	generated	generaed
s	signed	igned
r	upper	uppe
a	administrative	dministrtive
s	serious	eriou
i	prime	prme
m	samsung	sasung
t	limit	limi
n	began	bega
o	louis	luis
p	steps	stes
s	errors	error
h	shops	sops
n	bondage	bodage
l	del	de
f	efforts	eorts
n	informed	iformed
h	thoughts	tougts
r	creek	ceek
d	worked	worke
t	quantity	quaniy
a	urban	urbn
t	practices	pracices
e	sorted	sortd
n	reporting	reportig
s	essential	eential
f	myself	mysel
s	tours	tour
m	platform	platfor
a	load	lod
f	affiliate	ailiate
a	labor	lbor
l	immediately	immediatey
a	admin	dmin
i	nursing	nursng
d	defense	efense
i	machines	machnes
a	designated	designted
a	tags	tgs
h	heavy	eavy
e	covered	covrd
y	recovery	recover
e	joe	jo
s	guys	guy
d	integrated	integrate
n	configuration	cofiguratio
c	cock	ok
t	merchant	merchan
p	comprehensive	comrehensive
r	expert	expet
e	universal	univrsal
t	protect	proec
p	drop	dro
i	solid	sold
s	cds	cd
r	presentation	pesentation
a	languages	lnguges
m	became	becae
g	orange	orane
p	compliance	comliance
s	vehicles	vehicle
t	prevent	preven
e	theme	thm
h	rich	ric
i	campaign	campagn
m	marine	arine
v	improvement	improement
t	guitar	guiar
d	finding	fining
p	pennsylvania	ennsylvania
s	examples	example
i	ipod	pod
s	saying	aying
s	spirit	pirit
i	claims	clams
p	porno	orno
h	challenge	callenge
t	motorola	moorola
p	acceptance	accetance
r	strategies	stategies
s	seem	eem
s	affairs	affair
o	touch	tuch
d	intended	intene
d	towards	towars
l	goals	goas
h	hire	ire
i	election	electon
s	suggest	ugget
c	branch	branh
h	charges	carges
s	serve	erve
a	affiliates	ffilites
e	reasons	rasons
m	magic	agic
n	mount	mout
r	smart	smat
n	talking	talkig
g	gave	ave
s	ones	one
n	latin	lati
l	multimedia	mutimedia
i	tits	tts
a	avoid	void
i	certified	certfed
e	manage	manag
n	corner	corer
a	rank	rnk
g	computing	computin
r	oregon	oegon
e	element	lmnt
r	birth	bith
v	virus	irus
a	abuse	buse
a	interactive	interctive
t	requests	requess
s	separate	eparate
q	quarter	uarter
p	procedure	rocedure
p	leadership	leadershi
e	tables	tabls
n	define	defie
c	racing	raing
l	religious	reigious
c	facts	fats
s	breakfast	breakfat
k	kong	ong
o	column	clumn
a	plants	plnts
a	faith	fith
i	chain	chan
r	developer	develope
d	identify	ientify
n	avenue	aveue
m	missing	issing
d	died	ie
a	approximately	pproximtely
s	domestic	dometic
p	sitemap	sitema
s	recommendations	recommendation
m	moved	oved
u	houston	hoston
h	reach	reac
n	comparison	compariso
n	mental	metal
d	viewed	viewe
o	moment	mment
x	extended	etended
e	sequence	squnc
n	inch	ich
t	attack	aack
r	sorry	soy
c	centers	enters
g	opening	openin
e	damage	damag
l	lab	ab
s	reserve	reerve
e	recipes	rcips
s	cvs	cv
a	gamma	gmm
s	plastic	platic
o	produce	prduce
w	snow	sno
a	placed	plced
r	truth	tuth
c	counter	ounter
u	failure	failre
o	follows	fllws
n	weekend	weeked
d	dollar	ollar
a	camp	cmp
r	ontario	ontaio
t	automatically	auomaically
e	des	ds
i	minnesota	mnnesota
i	films	flms
r	bridge	bidge
a	native	ntive
i	fill	fll
s	williams	william
o	movement	mvement
p	printing	rinting
a	baseball	bsebll
n	owned	owed
l	approval	approva
a	draft	drft
r	chart	chat
l	played	payed
t	contacts	conacs
u	jesus	jess
a	readers	reders
b	clubs	clus
l	lcd	cd
c	jackson	jakson
l	equal	equa
e	adventure	advntur
c	matching	mathing
e	offering	offring
r	shirts	shits
o	profit	prfit
s	leaders	leader
e	posters	postrs
n	institutions	istitutios
i	assistant	assstant
e	variable	variabl
v	ave	ae
s	advertisement	advertiement
t	expect	expec
p	parking	arking
d	headlines	healines
d	yesterday	yesteray
r	compared	compaed
t	determined	deermined
a	wholesale	wholesle
p	workshop	worksho
u	russia	rssia
o	gone	gne
c	codes	odes
n	kinds	kids
n	extension	extesio
a	seattle	settle
m	statements	stateents
o	golden	glden
l	completely	competey
a	teams	tems
f	fort	ort
i	lighting	lghtng
s	senate	enate
e	forces	forcs
y	funny	funn
t	brother	broher
g	gene	ene
r	turned	tuned
b	portable	portale
t	tried	ried
c	electrical	eletrial
c	applicable	appliable
c	disc	dis
n	returned	retured
t	pattern	paern
a	hentai	henti
b	boat	oat
m	named	naed
r	theatre	theate
l	laser	aser
e	earlier	arlir
e	manufacturers	manufacturrs
s	sponsor	ponor
a	classical	clssicl
c	icon	ion
a	warranty	wrrnty
d	dedicated	eicate
i	indiana	ndana
e	direction	dirction
h	harry	arry
b	basketball	asketall
t	objects	objecs
s	ends	end
t	delete	delee
n	evening	eveig
b	assembly	assemly
n	nuclear	uclear
t	taxes	axes
m	mouse	ouse
s	signal	ignal
n	criminal	crimial
i	issued	ssued
n	brain	brai
x	sexual	seual
c	wisconsin	wisonsin
o	powerful	pwerful
a	dream	drem
b	obtained	otained
f	false	alse
c	cast	ast
r	flower	flowe
l	felt	fet
o	personnel	persnnel
s	passed	paed
u	supplied	spplied
f	identified	identiied
l	falls	fas
c	pic	pi
s	soul	oul
a	aids	ids
n	opinions	opiios
p	promote	romote
d	stated	state
t	stats	sas
w	hawaii	haaii
s	professionals	profeional
p	appears	aears
c	carry	arry
g	flag	fla
e	decided	dcidd
o	covers	cvers
t	advantage	advanage
o	hello	hell
e	designs	dsigns
i	maintain	mantan
i	tourism	toursm
r	priority	pioity
r	newsletters	newslettes
s	adults	adult
i	clips	clps
a	savings	svings
a	graphic	grphic
t	atom	aom
t	payments	paymens
i	estimated	estmated
d	binding	bining
i	brief	bref
d	ended	ene
w	winning	inning
g	eight	eiht
m	anonymous	anonyous
o	iron	irn
g	straight	straiht
p	script	scrit
d	served	serve
s	wants	want
u	miscellaneous	miscellaneos
e	prepared	prpard
v	void	oid
n	dining	diig
l	alert	aert
g	integration	interation
a	atlanta	tlnt
k	dakota	daota
g	tag	ta
n	interview	iterview
i	mix	mx
f	framework	ramework
d	disk	isk
i	installed	nstalled
q	queen	ueen
h	vhs	vs
r	credits	cedits
e	clearly	clarly
i	fix	fx
a	handle	hndle
t	sweet	swee
d	desk	esk
r	criteria	citeia
d	pubmed	pubme
v	dave	dae
c	massachusetts	massahusetts
g	diego	dieo
o	hong	hng
e	vice	vic
s	associate	aociate
c	truck	truk
r	behavior	behavio
e	enlarge	nlarg
y	ray	ra
e	frequently	frquntly
e	revenue	rvnu
u	measure	measre
h	changing	canging
s	votes	vote
u	duty	dty
l	looked	ooked
o	discussions	discussins
e	bear	bar
g	gain	ain
i	festival	festval
b	laboratory	laoratory
e	ocean	ocan
t	flights	flighs
t	experts	expers
i	signs	sgns
c	lack	lak
e	depth	dpth
o	iowa	iwa
a	whatever	whtever
g	logged	loed
t	laptop	lapop
n	vintage	vitage
i	train	tran
a	exactly	exctly
d	dry	ry
p	explore	exlore
m	maryland	aryland
a	spa	sp
e	concept	concpt
n	nearly	early
b	eligible	eligile
h	checkout	ceckout
t	reality	realiy
r	forgot	fogot
n	handling	hadlig
o	origin	rigin
e	knew	knw
g	gaming	amin
f	feeds	eeds
i	billion	bllon
o	destination	destinatin
t	scotland	scoland
s	faster	fater
e	intelligence	intllignc
d	dallas	allas
b	bought	ought
o	con	cn
u	ups	ps
n	nations	atios
r	route	oute
l	followed	foowed
t	specifications	specificaions
n	broken	broke
r	tripadvisor	tipadviso
r	frank	fank
l	alaska	aaska
m	zoom	zoo
w	blow	blo
a	battle	bttle
t	residential	residenial
n	anime	aime
a	speak	spek
d	decisions	ecisions
e	industries	industris
r	protocol	potocol
e	query	qury
p	clip	cli
h	partnership	partnersip
i	editorial	edtoral
p	expression	exression
t	equity	equiy
o	provisions	prvisins
p	speech	seech
e	wire	wir
n	principles	priciples
e	suggestions	suggstions
u	rural	rral
h	shared	sared
o	sounds	sunds
l	replacement	repacement
p	tape	tae
i	strategic	strategc
g	judge	jude
s	spam	pam
e	economics	conomics
a	acid	cid
e	bytes	byts
t	cent	cen
r	forced	foced
o	compatible	cmpatible
h	fight	figt
e	apartment	apartmnt
i	height	heght
l	null	nu
o	zero	zer
a	speaker	speker
i	filed	fled
l	netherlands	netherands
i	obtain	obtan
u	consulting	conslting
i	recreation	recreaton
f	offices	oices
s	designer	deigner
n	remain	remai
m	managed	anaged
a	failed	filed
a	marriage	mrrige
r	roll	oll
a	korea	kore
a	banks	bnks
s	participants	participant
c	secret	seret
t	bath	bah
y	kelly	kell
e	leads	lads
t	negative	negaive
n	austin	austi
a	favorites	fvorites
t	toronto	orono
h	theater	teater
i	springs	sprngs
u	missouri	missori
a	andrew	ndrew
a	var	vr
r	perform	pefom
e	healthy	halthy
s	translation	tranlation
e	estimates	stimats
f	font	ont
a	assets	ssets
j	injury	inury
h	joseph	josep
r	ministry	ministy
s	drivers	driver
a	lawyer	lwyer
s	figures	figure
m	married	arried
d	protected	protecte
a	proposal	proposl
s	sharing	haring
e	philadelphia	philadlphia
p	portal	ortal
w	waiting	aiting
d	birthday	birthay
e	beta	bta
i	fail	fal
g	gratis	ratis
n	banking	bakig
i	officials	offcals
n	brian	bria
d	toward	towar
w	won	on
h	slightly	sligtly
i	assist	assst
u	conduct	condct
a	contained	contined
i	lingerie	lngere
s	shemale	hemale
s	legislation	legilation
i	calling	callng
m	parameters	paraeters
a	jazz	jzz
s	serving	erving
s	bags	bag
s	profiles	profile
m	miami	iai
s	comics	comic
a	matters	mtters
h	houses	ouses
o	doc	dc
t	postal	posal
r	relationships	elationships
s	tennessee	tenneee
e	wear	war
r	controls	contols
i	breaking	breakng
n	combined	combied
i	ultimate	ultmate
a	wales	wles
n	representative	represetative
y	frequency	frequenc
o	introduced	intrduced
i	minor	mnor
i	finish	fnsh
t	departments	deparmens
e	residents	rsidnts
n	noted	oted
y	displayed	displaed
o	mom	mm
r	reduced	educed
s	physics	phyic
a	rare	rre
s	spent	pent
f	performed	perormed
x	extreme	etreme
l	samples	sampes
a	davis	dvis
e	daniel	danil
r	bars	bas
d	reviewed	reviewe
r	row	ow
o	forecast	frecast
v	removed	remoed
p	helps	hels
s	singles	ingle
s	administrator	adminitrator
y	cycle	ccle
m	amounts	aounts
i	contain	contan
r	accuracy	accuacy
l	dual	dua
i	rise	rse
s	usd	ud
l	sleep	seep
b	bird	ird
r	pharmacy	phamacy
l	brazil	brazi
r	creation	ceation
a	static	sttic
n	scene	scee
t	hunter	huner
s	addresses	addree
a	lady	ldy
y	crystal	crstal
o	famous	famus
t	writer	wrier
m	chairman	chairan
c	violence	violene
a	fans	fns
h	oklahoma	oklaoma
p	speakers	seakers
d	drink	rink
e	academy	acadmy
d	dynamic	ynamic
