input1	input2	input3	label
c	h	phcfj	phccfj
l	v	fvgbkcdx	fvlgbkcdx
v	c	splck	splcvk
g	g	fnrzsghkmxb	fnrzsgghkmxb
p	c	fcnx	fcpnx
n	n	npvzjb	nnpvzjb
g	s	hsjldfx	hsgjldfx
y	f	mvzfkjsn	mvzfykjsn
e	s	rhbsvqwm	rhbsevqwm
s	t	rltn	rltsn
b	q	pzqtgxbs	pzqbtgxbs
a	d	rgpdqtxkzs	rgpdaqtxkzs
c	q	rvjlpq	rvjlpqc
y	p	jpdsrz	jpydsrz
d	g	gzhnbxjqp	gdzhnbxjqp
s	n	ldn	ldns
p	m	nxtbcqhmkwp	nxtbcqhmpkwp
n	z	plgdzwb	plgdznwb
o	p	plvkn	polvkn
h	m	jntmkhqxc	jntmhkhqxc
l	v	lqvcwm	lqvlcwm
g	f	hwsbfv	hwsbfgv
x	h	gnhzpq	gnhxzpq
b	m	hmc	hmbc
x	q	qrnlgw	qxrnlgw
r	c	crbgvqkdmh	crrbgvqkdmh
g	b	sjwvdxbzmtq	sjwvdxbgzmtq
t	f	zvfml	zvftml
w	h	wxlkngfh	wxlkngfhw
q	f	jbvmfqsg	jbvmfqqsg
t	s	rsf	rstf
z	p	pdwqrv	pzdwqrv
t	m	gmjs	gmtjs
v	l	dltfhvn	dlvtfhvn
w	q	mzfqg	mzfqwg
e	t	pkfqtzwb	pkfqtezwb
s	b	ptqgbsldr	ptqgbssldr
y	m	mldphz	myldphz
o	s	mcqwls	mcqwlso
t	n	hnfb	hntfb
v	s	jrzschdm	jrzsvchdm
b	p	bjkcpm	bjkcpbm
r	x	fhglcxnjpv	fhglcxrnjpv
x	n	nrhkgjxsqd	nxrhkgjxsqd
a	m	mjrp	majrp
y	c	vchxd	vcyhxd
r	r	jmrpfnsh	jmrrpfnsh
l	w	fwpvgkntsr	fwlpvgkntsr
j	p	pldg	pjldg
c	q	dqxgz	dqcxgz
x	t	zmvt	zmvtx
y	h	pch	pchy
q	k	wfgckp	wfgckqp
n	b	vrtwmzb	vrtwmzbn
w	l	bkzdpl	bkzdplw
j	d	xnjvdgs	xnjvdjgs
u	g	rsqzvg	rsqzvgu
c	m	mxh	mcxh
r	d	dlwzgq	drlwzgq
d	g	wpgsqx	wpgdsqx
b	h	pvjhdrs	pvjhbdrs
u	w	bqfgwj	bqfgwuj
m	s	cdjhxrtnqsl	cdjhxrtnqsml
c	k	kgmjtws	kcgmjtws
f	c	cmnk	cfmnk
c	s	xjs	xjsc
v	d	dfzktj	dvfzktj
d	q	ngcq	ngcqd
t	l	cwbsgvjlkmt	cwbsgvjltkmt
u	w	vfnqtczw	vfnqtczwu
g	m	mzrhw	mgzrhw
y	j	jwgpfqxlr	jywgpfqxlr
p	k	xmqjnpkwlhbv	xmqjnpkpwlhbv
n	k	xkc	xknc
v	l	grcdbxl	grcdbxlv
p	l	jhwzlm	jhwzlpm
k	j	jmrsf	jkmrsf
n	r	wvxrmj	wvxrnmj
y	g	srg	srgy
o	x	gdrxljn	gdrxoljn
p	f	fqrvmjx	fpqrvmjx
m	z	lmznht	lmzmnht
r	j	xtvj	xtvjr
l	k	lkpzmnw	lklpzmnw
u	g	kqbpsnfg	kqbpsnfgu
f	h	zphb	zphfb
j	r	cjnzrd	cjnzrjd
n	c	qcxhlb	qcnxhlb
f	z	vbgzn	vbgzfn
z	d	wdpgbszc	wdzpgbszc
p	j	kgjxbp	kgjpxbp
a	x	ltkdxjgpc	ltkdxajgpc
o	c	gxqblc	gxqblco
v	b	fmbl	fmbvl
z	d	dbvlj	dzbvlj
i	z	zrdxb	zirdxb
a	n	gjrltsfcmdnvb	gjrltsfcmdnavb
p	t	vkzrt	vkzrtp
n	s	htsjm	htsnjm
k	g	zhcrg	zhcrgk
v	w	txnmpcwgh	txnmpcwvgh
p	z	vnzts	vnzpts
u	q	skvhplndcq	skvhplndcqu
m	z	mhpzkfl	mhpzmkfl
n	l	xthsdvl	xthsdvln
o	z	pzxqbsv	pzoxqbsv
b	j	jnpdgbf	jbnpdgbf
h	q	wmkxq	wmkxqh
j	v	gkvc	gkvjc
h	v	cpkv	cpkvh
j	l	snqwlk	snqwljk
g	j	tkrwjdgc	tkrwjgdgc
t	t	ntxszlfp	nttxszlfp
f	s	mpwnks	mpwnksf
p	v	mcv	mcvp
l	n	hfmzn	hfmznl
z	m	nsrfmj	nsrfmzj
m	l	gfrdbcvl	gfrdbcvlm
m	h	vsh	vshm
r	r	plcghznrjvs	plcghznrrjvs
x	s	tvslrf	tvsxlrf
r	m	ltmqfvc	ltmrqfvc
b	z	bmzvkc	bmzbvkc
w	z	zjvhmngkqf	zwjvhmngkqf
s	q	lpqm	lpqsm
j	c	cvhnsmz	cjvhnsmz
i	l	lrtxwsf	lirtxwsf
u	t	shtrnbgdf	shturnbgdf
r	s	vthspfzcrm	vthsrpfzcrm
q	b	ltsb	ltsbq
m	z	pdnz	pdnzm
o	p	pxt	poxt
v	h	pxvht	pxvhvt
j	s	qxrvkbszcd	qxrvkbsjzcd
p	k	xkwc	xkpwc
e	g	bgqlpkh	bgeqlpkh
p	k	ktn	kptn
q	v	gvnl	gvqnl
y	q	pnqdtchgkfsm	pnqydtchgkfsm
g	l	vwlprfd	vwlgprfd
c	s	sftr	scftr
i	m	xfvgmkt	xfvgmikt
f	b	fdzlbsx	fdzlbfsx
m	j	ljpkw	ljmpkw
y	n	gptqhbxnjcv	gptqhbxnyjcv
i	h	zfbrhv	zfbrhiv
x	c	cwp	cxwp
l	g	fzbrgkl	fzbrglkl
l	b	wmlbzfsh	wmlblzfsh
l	l	fvmls	fvmlls
w	x	qglxwft	qglxwwft
o	x	cmlsrxgw	cmlsrxogw
u	j	cjxvkzp	cjuxvkzp
v	b	pbrljsk	pbvrljsk
u	s	shvn	suhvn
n	j	mxjcz	mxjncz
n	z	xmz	xmzn
h	s	fxmsq	fxmshq
f	x	bczkgxw	bczkgxfw
b	p	spfm	spbfm
q	p	qktgwfsdp	qktgwfsdpq
d	b	tbhsdlx	tbdhsdlx
g	j	skfdjbm	skfdjgbm
l	d	vkldwp	vkldlwp
k	z	lzvx	lzkvx
f	q	lqrkhsfp	lqfrkhsfp
y	c	cgr	cygr
g	w	vqknwj	vqknwgj
z	t	gnqjtrdmpb	gnqjtzrdmpb
n	z	xzd	xznd
f	g	whlqkzpcg	whlqkzpcgf
u	g	fjgtclzwdvs	fjgutclzwdvs
f	q	wqbsr	wqfbsr
p	r	rjcs	rpjcs
d	w	vplwdfzhcs	vplwddfzhcs
i	x	zgkxjnsf	zgkxijnsf
b	q	pnztqh	pnztqbh
x	k	xkpqtmcrjhzgfd	xkxpqtmcrjhzgfd
e	p	cpl	cpel
d	v	vhkl	vdhkl
k	v	fvds	fvkds
r	x	mzbwklx	mzbwklxr
v	t	sdt	sdtv
k	q	qprxknglj	qkprxknglj
z	h	mnwsctgqhp	mnwsctgqhzp
m	j	jwr	jmwr
u	n	jfkcsmrgn	jfkcsmrgnu
i	z	tbzd	tbzid
b	b	gjkb	gjkbb
u	x	xrnq	xurnq
l	l	lxmbkhfv	llxmbkhfv
y	d	ndzsxtfjvb	ndyzsxtfjvb
n	v	tvzklgjspb	tvnzklgjspb
s	v	wkmjpv	wkmjpvs
s	f	tfhnzws	tfshnzws
d	z	fwqnpzrb	fwqnpzdrb
l	q	jmcgqsvh	jmcgqlsvh
b	p	zcpxglj	zcpbxglj
t	v	vwtqz	vtwtqz
q	n	cnwhd	cnqwhd
e	w	wfcshgk	wefcshgk
b	r	qrjbhcp	qrbjbhcp
l	t	wxktlrn	wxktllrn
j	g	cgftwrj	cgjftwrj
e	j	hjvpxtrd	hjevpxtrd
s	n	rtvfn	rtvfns
z	x	xrcwhkt	xzrcwhkt
x	p	qjtskfrgpn	qjtskfrgpxn
q	h	qhwsrxgbp	qhqwsrxgbp
p	f	thrmznf	thrmznfp
g	g	rzgbcmpnft	rzggbcmpnft
k	q	dkbq	dkbqk
u	s	kzwvsglmnr	kzwvsuglmnr
b	k	pzmkvhtr	pzmkbvhtr
z	n	xrfnd	xrfnzd
w	w	wstgr	wwstgr
k	x	mxhldt	mxkhldt
o	g	swnfpgrqc	swnfpgorqc
r	f	szrtfgvl	szrtfrgvl
a	q	cmdqtx	cmdqatx
o	r	mbntxgrqc	mbntxgroqc
d	c	cvsw	cdvsw
x	c	svbdfcx	svbdfcxx
g	w	qmw	qmwg
j	n	rcdgn	rcdgnj
r	v	fnhjv	fnhjvr
d	p	klvmpwbrxsg	klvmpdwbrxsg
z	j	pkdgjsqf	pkdgjzsqf
v	c	lxcqg	lxcvqg
w	s	sfxlp	swfxlp
r	z	fzxmgn	fzrxmgn
n	f	jbxfmzh	jbxfnmzh
e	d	dmtlpqc	demtlpqc
q	k	mzhkfnt	mzhkqfnt
x	d	fdb	fdxb
z	t	twpmfz	tzwpmfz
l	p	pnmgklvt	plnmgklvt
n	m	vlbhmpfxsj	vlbhmnpfxsj
u	d	fdgrnxq	fdugrnxq
m	n	frlnsxb	frlnmsxb
r	w	srnwm	srnwrm
i	h	htv	hitv
i	h	jhg	jhig
w	x	gxcwls	gxwcwls
q	h	zmsphfw	zmsphqfw
a	s	frhxsw	frhxsaw
k	z	nzg	nzkg
u	c	jpsdbmgfczhq	jpsdbmgfcuzhq
p	q	qrcljnmhk	qprcljnmhk
t	n	nsptzc	ntsptzc
y	d	xdhsf	xdyhsf
l	x	gplrx	gplrxl
w	f	xfklvt	xfwklvt
x	f	rcfdp	rcfxdp
h	z	zngpwhrtm	zhngpwhrtm
o	g	dxtlgwm	dxtlgowm
c	m	khcm	khcmc
b	j	vjmp	vjbmp
o	z	nzmd	nzomd
z	v	vzqcrnj	vzzqcrnj
x	f	bhkf	bhkfx
t	n	ngh	ntgh
