input1	input2	label
o	lzcdjvq	No
i	dcwfmlx	No
x	xdj	Yes
m	qbpkg	No
f	rfzxkg	Yes
o	rhvtbmjq	No
v	jbwpvhlsmkr	Yes
k	cjvsqnbf	No
a	lxsknwf	No
u	grfbl	No
m	xsfwndpl	No
n	gpwjmhnfv	Yes
y	bslk	No
w	wlzr	Yes
y	fdwlknhv	No
l	cqxp	No
q	mjxq	Yes
n	xbqfdts	No
g	fjsgvkr	Yes
n	qzdnc	Yes
s	wxgkl	No
t	sqmcr	No
t	trw	Yes
i	wgtpz	No
s	rvxsqc	Yes
h	xsgcdlhtr	Yes
x	xhmwn	Yes
k	mwtk	Yes
p	lthjwc	No
i	ljpwqt	No
d	nfqzg	No
w	cqxzdsvjb	No
f	zxtdf	Yes
s	hlkct	No
r	cfjq	No
x	mlbrqx	Yes
c	fmjrxpl	No
x	vprflz	No
f	fvnbdkspwj	Yes
j	bvwtcxk	No
o	ktfqlb	No
p	pmkbhftlzc	Yes
d	cjshqkwtvb	No
v	rvqnhlcbw	Yes
r	jnr	Yes
u	nhwfgl	No
q	hkfzlvns	No
j	cfkdhlw	No
k	clqgjpwnr	No
f	fsqbh	Yes
i	wktdph	No
u	tbkscqxw	No
x	gsvcpwjhnz	No
s	bmlxts	Yes
m	cxgmdl	Yes
c	xcjfph	Yes
e	qbrdznkw	No
d	xvqgndcl	Yes
b	wlt	No
l	lzprcdf	Yes
t	xts	Yes
t	xtcwg	Yes
z	frbjxzgkpdtl	Yes
g	jbxzw	No
j	bdz	No
t	wbnzjhrsv	No
t	tngjdlc	Yes
a	wmsfxnbtdq	No
l	flkwtvgcs	Yes
k	bwxk	Yes
z	lhztfb	Yes
r	rckf	Yes
y	lmdzxwks	No
q	xvgrq	Yes
d	rgdvcsx	Yes
h	rjlms	No
q	qzwdpc	Yes
t	kbsrwxtz	Yes
j	krjshdlzvfbw	Yes
e	dqgmnfw	No
r	fmhlwt	No
z	zfh	Yes
b	xbndshfz	Yes
s	mlzbqxs	Yes
l	cbjtwshdzl	Yes
r	nbhqrjlt	Yes
c	dsqhrt	No
d	cwkzbrqf	No
l	xfqk	No
c	mgwstrdzbxchk	Yes
p	pdjfrm	Yes
w	tlnzmdp	No
u	mdhgstvnb	No
s	mxkn	No
j	zbpjg	Yes
m	plvdwsx	No
v	hpvr	Yes
g	fkcjbmrzpqv	No
t	qpt	Yes
p	mxgjdlr	No
g	ngvfw	Yes
d	lrknxdq	Yes
e	qprgxv	No
n	lmtjzsg	No
d	bgfzrwh	No
r	mxdb	No
o	bkxqc	No
j	rlpfjqwv	Yes
m	dmlc	Yes
n	jpwnx	Yes
q	nrcjmvlkbz	No
w	hbwdtg	Yes
l	clht	Yes
g	gwsm	Yes
q	wlqzhfgs	Yes
v	bxmkf	No
s	ztfwrpkmsh	Yes
p	zbvlsgxrd	No
b	wgxzf	No
d	xntbmwsj	No
r	vbjcsm	No
n	shntm	Yes
v	qtwvns	Yes
s	qlnwgbs	Yes
m	lmnkthd	Yes
o	mhjgztwps	No
l	zcxjhkwl	Yes
l	blkdr	Yes
q	sdxzhqpc	Yes
t	flb	No
w	jfncpx	No
m	kdsfzlwv	No
f	jdmgfwvkzpx	Yes
m	mlctgvkxz	Yes
g	qvgxzwc	Yes
h	dvrm	No
e	bkgqdtcjx	No
i	lfqkp	No
f	fzqn	Yes
r	qlnmkhx	No
i	ztdpsmq	No
p	nprqd	Yes
u	bzdxjcqrmhk	No
q	kxdqb	Yes
d	qjwkgcdpslfb	Yes
s	sxvmb	Yes
v	pnjfkx	No
v	spcrzgn	No
e	hjcgrs	No
p	mgrswnxj	No
c	xbfnvtzmwpcl	Yes
v	cdwv	Yes
n	gcj	No
l	dsw	No
d	qhjvcgnmr	No
l	hjzd	No
s	vsn	Yes
x	sthzpvl	No
e	nqdlk	No
l	lfd	Yes
h	cqn	No
u	pqvkb	No
z	wnglzfk	Yes
w	wmrdzvqk	Yes
z	gjz	Yes
l	xvdkhc	No
g	shzvtm	No
o	rnfvmzhwp	No
p	xbknrpltjg	Yes
w	wbph	Yes
t	wtv	Yes
a	wqzdrfm	No
d	wstqlxdfb	Yes
i	wjnpft	No
f	wgdbk	No
g	dznbglpf	Yes
b	vdwb	Yes
f	fqxnp	Yes
h	vmhxs	Yes
n	vjk	No
d	cgftpd	Yes
p	mdvcwb	No
p	krpjmnf	Yes
k	wbgr	No
b	wrxmcdpb	Yes
c	ckft	Yes
l	lwcgr	Yes
w	sbzvwxd	Yes
g	tmplb	No
s	shlwbz	Yes
u	txjld	No
f	zcvbjkt	No
n	mtkjcphd	No
s	lpgz	No
o	pwzvht	No
f	sbrkf	Yes
d	rvdfcpnszq	Yes
a	rskjf	No
s	hznjvg	No
x	msdplzrkcxn	Yes
h	sbkwndr	No
g	xzvgk	Yes
d	xktrlwjn	No
u	qctsvwj	No
v	bjtdcrm	No
w	wdmhglr	Yes
h	lhts	Yes
e	smhfxpdj	No
p	vbhgtmdf	No
v	tpbx	No
n	vjwrnf	Yes
z	hfgpv	No
b	rbhckdt	Yes
p	skpfmq	Yes
h	jxnqdzv	No
g	rfhlwsqcm	No
j	jmwgxsp	Yes
g	wrbzdchlqjt	No
i	dwfmqbzvcs	No
h	kljhqcnfgtrspm	Yes
y	zbxpcldqts	No
h	jwmx	No
y	vnlrx	No
u	mpvts	No
e	nqlvczrsgwf	No
c	ljhc	Yes
r	qbncrwpdk	Yes
p	pmsqt	Yes
y	tbw	No
f	fpktrhqx	Yes
g	lqzfhdw	No
t	ltzgh	Yes
z	srdfqvjbpct	No
h	sclgnhvz	Yes
g	vwrz	No
d	dxrgvtqjwf	Yes
t	xpnvwbzf	No
l	rgszfwc	No
j	rjmvlpqb	Yes
o	qsmnlxgpwc	No
x	jxskmfzpb	Yes
b	ksvb	Yes
w	tmkbxqrf	No
f	rtwmxp	No
d	qtjx	No
n	fnc	Yes
v	glvf	Yes
q	qjpsrwlb	Yes
q	rhmv	No
i	kncwj	No
l	tznpgr	No
o	gklthpn	No
k	ngfhrkcv	Yes
e	pjfszrmvhldgn	No
d	fvp	No
r	flzwxr	Yes
h	rglbxwk	No
k	krlfbwv	Yes
l	bctnxz	No
e	jzwcmtxg	No
c	pbh	No
h	lptknbqw	No
s	mtrpzn	No
l	sctlf	Yes
x	xbdgv	Yes
n	stlpzv	No
u	xpkljc	No
s	qsglr	Yes
r	xghdqzlf	No
b	sjfmcdt	No
f	vgkpshc	No
t	jtfk	Yes
o	gbrw	No
d	qglkdwb	Yes
v	tzlh	No
d	tsjhdfc	Yes
o	rkhzmbftj	No
n	nkrdls	Yes
g	bgwq	Yes
w	wkzvxqb	Yes
k	btpwm	No
t	fzrbxmwg	No
y	dcn	No
n	gpqmfcjzwxtrhk	No
k	nskj	Yes
j	bgjp	Yes
q	fhpzgtml	No
x	kjxcshr	Yes
w	qplvwfmnbc	Yes
b	ngjhdls	No
c	chtxgl	Yes
g	jscbkzt	No
z	hcstnvz	Yes
z	kjdt	No
g	bqntswhrxl	No
l	rplhszv	Yes
z	krs	No
i	sqvbzp	No
u	fjcnm	No
a	lzhpwqmj	No
h	wlnp	No
u	lhbwcpkr	No
p	vztxq	No
k	dbrghnkp	Yes
l	zwhvc	No
u	zglhwnqxpst	No
f	dwfr	Yes
b	gqdlbf	Yes
f	nhdqwxs	No
l	pswrjlqn	Yes
p	rcltgzfk	No
u	htrf	No
h	jvfzmxch	Yes
x	fncqbjlmzg	No
o	trfdvm	No
g	wlnjgs	Yes
t	fsntqglrj	Yes
q	txm	No
t	blhmrtcxvfk	Yes
q	gkbqlnm	Yes
r	wjlrc	Yes
b	hlgvspkzj	No
t	khmjxt	Yes
v	xlmjzf	No
w	nkrcfg	No
c	cxq	Yes
k	fdnhgc	No
a	vmckqdhgjx	No
o	phsqvlmdwxb	No
r	pqhzs	No
s	tgwjrlsb	Yes
n	rxzbtcsj	No
z	fjn	No
y	htmjrk	No
n	jntw	Yes
w	hwqcjrn	Yes
n	pnqkj	Yes
z	rlzsdgjf	Yes
d	pcdrtkfzs	Yes
x	nbftvw	No
n	qpjfbc	No
z	znkr	Yes
c	zwtlgrhs	No
r	dflxqr	Yes
y	jbfzplnhxq	No
d	mghxkfqjls	No
s	hwrl	No
m	hmfvx	Yes
r	qrsblwdn	Yes
o	pqhxvtjzls	No
n	tmnp	Yes
u	rdhpj	No
b	sdbp	Yes
w	wrc	Yes
g	clmkvn	No
q	hlbvrsq	Yes
w	cqpwtr	Yes
z	zxklmhv	Yes
g	twqskm	No
r	rns	Yes
v	pjsrnm	No
n	kbzxsm	No
u	tlrfhbg	No
f	jhmrdt	No
s	trcjhbqfszw	Yes
s	dcxshfk	Yes
b	sqbp	Yes
x	qpx	Yes
n	xqmzrk	No
z	zlps	Yes
k	zmfhkpnglts	Yes
k	bngrdvzq	No
q	cvxgj	No
t	ksrqjfvld	No
j	mbctxqvwnjsg	Yes
r	frv	Yes
c	cfxdmln	Yes
p	pdqgbx	Yes
u	brkmn	No
c	pchfxr	Yes
k	kfq	Yes
e	hwntcmr	No
t	xntjlds	Yes
r	chdxmf	No
p	pclv	Yes
z	cwdmlfk	No
t	bnqzmjpr	No
r	rpxj	Yes
t	rdwpjq	No
y	jsqwkp	No
n	nrqzg	Yes
o	zltdmvhr	No
d	svknxf	No
n	ctzkhpxbv	No
t	nhtsfk	Yes
h	mhcz	Yes
s	vdtzh	No
s	dswmn	Yes
c	tvgndfpcjwzqk	Yes
k	mrjqk	Yes
y	dkmsc	No
f	sfpbv	Yes
n	wnpkqtzdc	Yes
x	dcsxh	Yes
h	srqxlfzgck	No
k	jkfzqlw	Yes
x	zbsgnpj	No
w	nbsprxv	No
v	bhwnksf	No
k	rpszx	No
s	zqsk	Yes
l	cjld	Yes
p	pktfjv	Yes
e	sdtxkfmn	No
l	qnmtzlxh	Yes
q	ntlzvs	No
r	tsz	No
h	hltwx	Yes
f	bcgmwh	No
z	mqkjnhrs	No
y	klq	No
s	cbwjdvnpqmr	No
n	knfhts	Yes
q	xvsdbzq	Yes
p	tnkvpd	Yes
j	fhlpncmxvk	No
n	npxs	Yes
l	flzswxh	Yes
g	dvblxng	Yes
x	kdnqjzwmv	No
q	vskthgwrnl	No
j	bcjn	Yes
s	rjsl	Yes
r	rwf	Yes
h	lmghc	Yes
d	rsdjwbvfqp	Yes
q	pqds	Yes
l	nbcwdvt	No
b	nbs	Yes
q	frlx	No
m	sqbmpvfrknxw	Yes
v	dfklpsc	No
m	svmj	Yes
e	jrwbslp	No
o	bvpgshw	No
s	pztrv	No
r	gntvkrjbzfc	Yes
z	czbqgp	Yes
l	xqk	No
x	qsnlbpk	No
q	bdqnwskj	Yes
g	sclng	Yes
b	zmngsxq	No
k	qrsctnhb	No
f	nlfhgsx	Yes
b	dgbnpwr	Yes
o	lrtd	No
f	fdpmr	Yes
s	kct	No
h	glmhv	Yes
a	zknbxrc	No
z	dfrz	Yes
e	mbxsrwjhz	No
v	nvqsgdz	Yes
q	jxtqsrk	Yes
s	pmvqbw	No
j	lngk	No
g	tfdjgcrp	Yes
f	sjf	Yes
c	jcvgxs	Yes
r	sfpktxzjvg	No
q	vzs	No
h	fwnpxqhgv	Yes
b	ptrkvwxdjgz	No
a	dlmzv	No
j	tlkj	Yes
a	cbthqprgxl	No
j	gfqljdzm	Yes
o	qhbvtp	No
a	hjlnftwbzcmsqv	No
r	wmv	No
f	fhzn	Yes
s	sztr	Yes
t	pcblntm	Yes
g	vlz	No
s	rwmbgtfps	Yes
b	bkdhmjcnvl	Yes
i	sdf	No
c	dbvflqrxh	No
d	gkjw	No
a	nklx	No
n	dnkf	Yes
v	chpnxktf	No
q	tmrglbdzsf	No
q	kvjprmwtfn	No
m	jfhdqz	No
p	zghqbvc	No
r	npgxbvmr	Yes
x	dvrfkxqc	Yes
x	tqpwlkx	Yes
f	dpflk	Yes
p	zcvlw	No
d	xjvtsgz	No
z	zndcwkg	Yes
b	cpbwtqr	Yes
f	qhdcgvf	Yes
m	rngcmhpj	Yes
i	gbthd	No
w	cslbxfq	No
x	vwrthqjplc	No
d	ldsnfkztm	Yes
i	pbxzdtj	No
w	xnvlmkzsgw	Yes
r	rklx	Yes
c	tqsjxwhrml	No
h	hczjwmgr	Yes
l	cnvbj	No
t	tngfs	Yes
z	lzbvpw	Yes
k	kghxbmrwq	Yes
q	jlftdqzm	Yes
f	ftpwdv	Yes
j	mtnjxvqrz	Yes
p	lhkg	No
j	cjxwfzb	Yes
s	zrd	No
n	crfng	Yes
w	qmjcf	No
u	gkdhvsmbxtq	No
d	vtsdqbnr	Yes
q	jqzbr	Yes
v	kvxpb	Yes
p	tnbszv	No
v	ghfjnsv	Yes
t	dgvfsnr	No
c	ghmqklv	No
v	tgv	Yes
f	dbwgcm	No
s	vjgxcfwr	No
n	kbqlcjpsxn	Yes
f	kjpdzlq	No
j	qbmgtsf	No
d	jhmnt	No
k	tmk	Yes
n	tcn	Yes
d	bfwgmd	Yes
p	scmxblp	Yes
z	vgjzfx	Yes
u	hqx	No
p	jgbdclnsxprh	Yes
q	sjrqgtvkf	Yes
w	plgvfk	No
b	cwrfb	Yes
f	qsxlz	No
q	tfzqrh	Yes
v	pvqkt	Yes
b	sqjrgnmzk	No
w	pxjcrqn	No
c	bmsh	No
u	fdlz	No
x	vnmw	No
m	sbqwmpf	Yes
j	jkxd	Yes
g	xcf	No
t	fjcdtszhql	Yes
v	ctsvhfb	Yes
q	ztkjhns	No
l	qlszxrh	Yes
l	qwljmz	Yes
p	bktjmzx	No
x	zjcm	No
m	czrld	No
b	pzvhb	Yes
x	hjpg	No
y	qxrns	No
e	sfljp	No
n	lkhxgcrb	No
c	zbkjpmwtrnh	No
y	qzsdghxt	No
e	bljszrf	No
r	fqsv	No
f	cztxl	No
a	hntqfz	No
g	gxhrvn	Yes
l	ltgkjmxp	Yes
l	rqlbnh	Yes
s	lvnpxbt	No
g	zjwt	No
k	lcfqdkjmnwp	Yes
k	fzwgqhms	No
q	zhmvdj	No
e	dnpwc	No
d	ksdwqpb	Yes
v	nsjqfckdhw	No
v	bkftzqgx	No
o	qbhfgcxlzvtps	No
y	trjghzp	No
z	cxwfpzq	Yes
p	plzgbq	Yes
f	qcglb	No
f	kqchz	No
k	qlfkjhst	Yes
s	hstmnp	Yes
w	xthdml	No
s	krscnx	Yes
m	wcfmnl	Yes
j	lqpr	No
f	ftgsvj	Yes
g	bqhcsmk	No
i	tdnwskz	No
q	cxwngl	No
p	ghdwktj	No
p	cbnsdl	No
g	dlsgwxftzq	Yes
m	gvmpf	Yes
e	qlfd	No
h	vzrmgjlhpt	Yes
d	ctvd	Yes
m	djcp	No
q	wzfbqcdnrsp	Yes
s	vjrzkmsd	Yes
i	ljzqpvsnc	No
e	pltfsxzm	No
z	bfxwmgh	No
j	gmjcxt	Yes
o	xwdmbp	No
u	xdfsnbvwhk	No
y	fkbntl	No
v	cjhkbvnft	Yes
h	cjqmkhlgsw	Yes
q	qltrd	Yes
x	wmlvgzxr	Yes
u	mtrxvkc	No
m	gncbxktjv	No
a	jvct	No
e	pwxfqkhmczj	No
v	cnbv	Yes
k	rjgbndlvxtskz	Yes
j	nfjzqwb	Yes
r	glsjvd	No
u	ztkbmwlgnr	No
s	sjhtl	Yes
m	dtb	No
d	qmwzgvhs	No
g	jmtqglkrv	Yes
s	kwscjvx	Yes
x	mrpvftw	No
b	jptcqmwfb	Yes
e	zjwfqndmst	No
i	rcbjzwlmx	No
x	dxk	Yes
h	ckvmw	No
z	ghmrzlq	Yes
j	vmgrjfsb	Yes
l	hdvpqsl	Yes
h	znq	No
b	pcwl	No
p	znrg	No
a	lkrmhzqngfjp	No
w	ztdbgcx	No
p	wrvnmp	Yes
t	tjn	Yes
d	pzkmgnrl	No
e	mzt	No
b	gtbzx	Yes
z	mlzktfbr	Yes
g	fqtdg	Yes
k	kmzwjn	Yes
y	fgwk	No
k	qfln	No
c	rbnkqv	No
a	skpc	No
n	zdwxmjvrkl	No
z	vbqk	No
z	dbswzx	Yes
o	zghqsmrf	No
x	lsx	Yes
k	cgpf	No
k	qwtbszk	Yes
r	xlpfjcr	Yes
j	kmpsqgzlfn	No
x	rsgfxpjt	Yes
p	hgknwvq	No
v	klwm	No
b	sqphtvdrmcfw	No
z	cnzstlx	Yes
d	vghsk	No
t	hldbxvgt	Yes
k	sxtvf	No
m	kgm	Yes
j	kjv	Yes
e	fknphjrgl	No
j	vhrmw	No
e	nvbcmrqt	No
p	rvtzds	No
d	kcdsm	Yes
a	kmwxlr	No
j	qsj	Yes
f	zcjrvxfs	Yes
z	zcbrpgnh	Yes
r	vpwdzckbtr	Yes
w	wpmf	Yes
b	xbskrmqpvt	Yes
u	phszlvjqtwbfc	No
z	vzgjbfmk	Yes
o	csfwr	No
s	vgdrqjx	No
m	rpzwdm	Yes
w	wftpm	Yes
m	pklbqw	No
h	qhv	Yes
c	jbhdnwv	No
q	fqwsmgj	Yes
x	xnjfg	Yes
q	kzfhbjcts	No
d	fmvgpcd	Yes
d	pdqcngt	Yes
p	gwxql	No
c	cdxrpst	Yes
l	nlhsxgmzt	Yes
q	xdtqcrgfz	Yes
x	lqxk	Yes
b	bpld	Yes
t	vhgsd	No
z	lczdw	Yes
o	thzjcn	No
n	xbcvhzlnsm	Yes
u	tqh	No
u	npjwsrb	No
x	zqcsxmp	Yes
r	wdnkbsp	No
m	mhrtdbwk	Yes
e	nbhvlkfw	No
j	btmsj	Yes
q	vwkbpsr	No
g	mvxcnblqfg	Yes
c	dvmflhx	No
p	hzqfl	No
x	vrkj	No
u	tvxn	No
c	qzlrwscp	Yes
l	fqsxbkcljg	Yes
r	cqfgrs	Yes
c	cprx	Yes
l	jpfvmrzn	No
u	lzjwhm	No
e	bxfw	No
j	skpbxt	No
q	nhtgfpj	No
v	gxjphct	No
m	fms	Yes
c	cxjfbdhtn	Yes
n	pwzdqh	No
b	djnmclfg	No
k	kvh	Yes
b	zbxkn	Yes
k	hkq	Yes
t	qdnlhzvsx	No
k	qbltkn	Yes
g	frcbjpx	No
l	zcxvwb	No
k	fjsqnblhk	Yes
f	hwrm	No
t	mchnrqv	No
x	svrwc	No
r	wzbhprgs	Yes
r	wrqjdvz	Yes
r	wrskp	Yes
w	zvwxnjm	Yes
j	jdxftwv	Yes
d	hrzfsdxmq	Yes
o	sznwpf	No
n	mskjgdxf	No
h	htxq	Yes
x	wbsfljvk	No
x	tnjm	No
g	tzwg	Yes
t	tglzfpbd	Yes
o	sdcrhtw	No
h	chxwvftzn	Yes
n	sfzhjpvbxcn	Yes
i	cftw	No
k	skhvwflbc	Yes
d	gqfjxr	No
z	zdfgt	Yes
v	flwv	Yes
p	bgvxpts	Yes
d	jtlmxbnq	No
h	wgqfbjmpxkt	No
r	fpcrqzhm	Yes
p	ndx	No
k	snpkr	Yes
i	msvrl	No
q	fxmblvn	No
b	bcvlxkzqw	Yes
t	ghmvt	Yes
e	nmfxtjzslb	No
l	rjkqwspg	No
q	tqkzbpd	Yes
p	qkmwpb	Yes
u	znbtqdp	No
t	ftnpqmxhz	Yes
t	prmbcj	No
r	bvtglhfkzp	No
d	kmqd	Yes
u	xvzgsmb	No
j	hsjgclq	Yes
g	khlwtcdz	No
s	ghklsnt	Yes
h	jgqnblh	Yes
d	ztpxb	No
p	vwqkxpmrc	Yes
v	nqhgjm	No
n	flnhw	Yes
h	gwdxvjspzhbfmc	Yes
p	sjthmvf	No
y	rznwk	No
c	hnbzqtv	No
k	bwkqt	Yes
k	dlckw	Yes
r	gzpwf	No
h	hpwqd	Yes
o	gkxjnh	No
k	sjlvb	No
j	pfqhdvb	No
m	gdx	No
g	mfpjnzr	No
l	xfpnjlkd	Yes
w	mvkgpqhf	No
c	ftvgc	Yes
i	znlvqr	No
g	wzqvjdlg	Yes
j	cvjts	Yes
z	qlzjsxmfr	Yes
f	rcxkfb	Yes
q	fshnxljtd	No
t	rmznbscfx	No
v	rvfwjc	Yes
j	qxfbv	No
f	xdfqlrct	Yes
p	cmtq	No
u	htgszwpcj	No
h	xfgrb	No
o	gjvsthzmpdc	No
c	cvntz	Yes
e	hvfsjzq	No
r	zvmkrnw	Yes
o	lpcwzfsg	No
r	hqnvtrdbps	Yes
c	qznt	No
s	wzgpf	No
z	grvkncz	Yes
m	rdsvxltw	No
w	wpd	Yes
k	rkjw	Yes
q	vnqsrjkwtf	Yes
z	tgwvfzljchpnd	Yes
x	mxzq	Yes
r	hscfjnxt	No
d	fnkpbgwcljzxm	No
f	pqjfdn	Yes
l	qrxjlbkcz	Yes
k	hknbmqs	Yes
x	vflc	No
f	fhlxm	Yes
a	bxt	No
u	nflxwqgjmhvr	No
p	ndpmsjkqv	Yes
r	rjwftc	Yes
y	krpmbj	No
t	jpkwlnqtms	Yes
h	ndswczxv	No
e	qhctzvr	No
s	kpshn	Yes
g	grsf	Yes
q	hntfdbkm	No
v	xvfksh	Yes
j	hbftrpsqxdj	Yes
k	rqklvf	Yes
x	fzktsxg	Yes
p	vjbltzrgfxpd	Yes
m	zhqxclkb	No
h	hpbj	Yes
u	jvtghr	No
h	psbzgh	Yes
l	tgsmdp	No
p	dwlpj	Yes
o	lvkdqfbwj	No
h	kqgsmjbr	No
r	pjschvrgfw	Yes
x	vxmzsdhbkn	Yes
t	btrs	Yes
o	rxpnfqt	No
u	xnqtz	No
n	dtjcnpvm	Yes
q	tqcshvr	Yes
h	nrhfs	Yes
m	mfvw	Yes
d	lqdfkvmr	Yes
s	jdfqnhs	Yes
w	nqtkvl	No
f	kjntclm	No
b	hmnpd	No
r	kwsvjznxrm	Yes
c	vtjfbrk	No
d	gspln	No
j	jzkqw	Yes
w	vzgcr	No
x	dxwqfps	Yes
m	lqmp	Yes
i	bqsh	No
a	gbjql	No
q	ntdvwhkbsp	No
l	lkrj	Yes
z	lzvnd	Yes
s	fglmzktrb	No
g	fjlgvr	Yes
a	nhbgrs	No
v	nbsv	Yes
o	qvkrcgftw	No
k	wqmrck	Yes
t	whptkds	Yes
z	djhbk	No
j	zrbdj	Yes
w	pbrxw	Yes
f	fjrshxgtnlp	Yes
x	stdjgfnv	No
b	zfqrjtnk	No
x	rvdmspw	No
n	btsxwzljf	No
f	vpqnzjdbhx	No
s	mvtspb	Yes
d	dxhznm	Yes
l	pmrqdl	Yes
b	zvfswbmnk	Yes
j	gxqfk	No
u	vbchgpxzj	No
f	bczs	No
j	sdjqzt	Yes
q	bnxhdq	Yes
s	xrnjs	Yes
g	jhvkq	No
l	hwlqrzkbf	Yes
s	zpcwrjdn	No
n	wlkjmq	No
q	rlkfvdq	Yes
p	nkrp	Yes
j	mdgbzrcjxntpv	Yes
w	lrnzhxcv	No
x	xmsdzhr	Yes
a	mfhbstjkpvldgwq	No
g	jhdvz	No
h	cstrhlj	Yes
s	ljdgk	No
p	hsmbdwcgpv	Yes
g	sgjnvw	Yes
w	slhvgz	No
e	dvfkhz	No
p	trcqbkhj	No
d	vrhdnzsx	Yes
z	rzlt	Yes
h	sjhrgk	Yes
m	kqdgh	No
k	nrctmxl	No
w	bwvrszh	Yes
q	vmspjq	Yes
u	xkm	No
a	xvfnqcw	No
k	cprskng	Yes
o	fpx	No
q	rmzbq	Yes
b	bfhpzqt	Yes
f	gmwdksr	No
c	krvf	No
x	trcxqn	Yes
j	xbjmk	Yes
i	qjphskl	No
t	mvdlwgr	No
r	hdjswln	No
c	ghkjqdw	No
s	msjrvh	Yes
u	gnxs	No
b	fcqnhgs	No
w	kphcxmgtfbwzl	Yes
i	ckd	No
