input1	input2	input3	label
c	v	mjnvbzfctsk	mjncbzfvtsk
b	r	xntbwdr	xntrwdb
p	v	mxlpv	mxlvp
b	l	vftbdlzxp	vftldbzxp
h	b	hpdnxb	bpdnxh
r	d	qbxvrd	qbxvdr
g	l	zlfgvt	zgflvt
w	k	vwk	vkw
b	d	dblmgc	bdlmgc
n	h	ftcjlnbvsh	ftcjlhbvsn
c	x	cxblpvrqzwh	xcblpvrqzwh
j	d	jdrhw	djrhw
c	x	wbgkncxv	wbgknxcv
r	d	nrzfdpvk	ndzfrpvk
j	r	wrj	wjr
v	t	jvstmc	jtsvmc
c	v	rkcv	rkvc
n	g	xvglwnj	xvnlwgj
j	t	cwvjt	cwvtj
s	v	rfsbhgvj	rfvbhgsj
d	r	mkszqcrhd	mkszqcdhr
m	c	nqzcmp	nqzmcp
m	b	pgmbnq	pgbmnq
m	b	bmfd	mbfd
s	q	mwsvljbq	mwqvljbs
c	l	glmrtc	gcmrtl
l	w	tqlwdjgspn	tqwldjgspn
p	w	cphqvbfxwn	cwhqvbfxpn
x	l	hlzx	hxzl
l	x	vlfkx	vxfkl
k	p	zclkfvpw	zclpfvkw
r	m	mkbdqzjngr	rkbdqzjngm
z	w	zwch	wzch
k	s	sxlzk	kxlzs
z	b	bzjq	zbjq
s	b	svb	bvs
l	f	bfjplk	bljpfk
h	w	vzqxfwh	vzqxfhw
s	w	qrwszg	qrswzg
x	s	qcxmslj	qcsmxlj
m	l	qfcmln	qfclmn
g	k	lkg	lgk
l	h	jrhmlk	jrlmhk
c	d	jpcvdr	jpdvcr
d	k	kmdfqnj	dmkfqnj
v	r	vxzfpr	rxzfpv
s	f	wvjtpkldsrf	wvjtpkldfrs
p	h	mkhpdbt	mkphdbt
m	j	qmbj	qjbm
s	n	snd	nsd
x	p	vbxzrp	vbpzrx
c	w	cwxs	wcxs
q	r	zjnthcfrsqk	zjnthcfqsrk
l	r	kwlxhrsj	kwrxhlsj
p	c	pnqcj	cnqpj
v	q	kvrwjcdqp	kqrwjcdvp
w	p	txnwhpdrfbcs	txnphwdrfbcs
h	d	hdg	dhg
v	m	tqwpmgv	tqwpvgm
l	m	vgflmz	vgfmlz
p	q	zrqfp	zrpfq
k	q	txqkvj	txkqvj
l	r	prl	plr
r	q	rpvqmgs	qpvrmgs
j	q	jtqgrpk	qtjgrpk
r	k	mztrhk	mztkhr
r	v	crvd	cvrd
s	x	pvnrfxs	pvnrfsx
j	t	xqtbkrjz	xqjbkrtz
c	q	cbqm	qbcm
n	l	nlpdjw	lnpdjw
g	h	chvgrn	cgvhrn
n	f	xpfnq	xpnfq
s	z	lzmxsqft	lsmxzqft
v	b	bjxkvq	vjxkbq
w	f	djrgpckfw	djrgpckwf
b	f	slknbf	slknfb
h	f	fhzv	hfzv
c	h	vcghj	vhgcj
k	r	fkrwq	frkwq
j	w	xwlsjkdfhgptz	xjlswkdfhgptz
q	x	nqxmh	nxqmh
q	f	fjmqb	qjmfb
f	r	rfgvb	frgvb
p	s	gsvqzpbdj	gpvqzsbdj
w	x	xhnwl	whnxl
k	c	fdwqglckrz	fdwqglkcrz
k	n	gzmdnkx	gzmdknx
m	f	hfgzmnl	hmgzfnl
q	z	ntqzvgp	ntzqvgp
h	g	bgrtqhf	bhrtqgf
t	b	tlqbn	blqtn
t	k	kltq	tlkq
j	l	xqjl	xqlj
x	r	cbrhqx	cbxhqr
c	x	xzmqcphr	czmqxphr
h	l	drwtlhjc	drwthljc
d	g	cdjbfg	cgjbfd
k	g	vgk	vkg
f	h	zkvhf	zkvfh
p	c	cpxgzm	pcxgzm
v	l	hjlnvgqm	hjvnlgqm
z	d	zdp	dzp
h	b	bgphfqvzdxs	hgpbfqvzdxs
s	x	lhqsnx	lhqxns
v	m	qvrbmxw	qmrbvxw
q	l	mhdclq	mhdcql
r	m	mwrvhztnbk	rwmvhztnbk
f	j	fcjk	jcfk
s	l	sgbldkr	lgbsdkr
h	p	dqnhplw	dqnphlw
n	v	clvjkqfns	clnjkqfvs
f	h	vnfzpwdhgc	vnhzpwdfgc
p	r	pfmr	rfmp
s	n	nscb	sncb
f	h	fhb	hfb
c	j	gcxwj	gjxwc
c	l	fbhxlnckmj	fbhxcnlkmj
r	h	dfhr	dfrh
r	k	qgkrdsb	qgrkdsb
z	r	zgr	rgz
z	t	mrtz	mrzt
q	v	hqpfvmznrkcb	hvpfqmznrkcb
d	k	vhgtmkd	vhgtmdk
n	p	wnpk	wpnk
c	f	bcmfnxw	bfmcnxw
c	t	cghkptm	tghkpcm
s	z	vtjzs	vtjsz
c	x	fchztljmwpx	fxhztljmwpc
z	b	qbtzhd	qztbhd
w	t	tmw	wmt
w	s	bdxrwzs	bdxrszw
v	r	vhqrtczj	rhqvtczj
c	r	htcxr	htrxc
p	d	lgdwvnp	lgpwvnd
x	g	gnlwxvmz	xnlwgvmz
k	p	ctkflpr	ctpflkr
s	f	qvkxbfs	qvkxbsf
z	q	zqkr	qzkr
k	r	rjslk	kjslr
d	t	ldt	ltd
n	k	pngkl	pkgnl
d	z	qmczdkx	qmcdzkx
j	h	nbhj	nbjh
m	t	gtqklnfhm	gmqklnfht
d	j	zdcrxkj	zjcrxkd
j	r	hgnmjrw	hgnmrjw
j	n	tbmknj	tbmkjn
p	j	lcjp	lcpj
q	v	vmhdnptq	qmhdnptv
p	w	pwc	wpc
c	f	dmtfgc	dmtcgf
k	v	mvfzktxwgj	mkfzvtxwgj
s	z	hzs	hsz
p	w	hvnrpfqtw	hvnrwfqtp
m	r	xvthrdjmnqf	xvthmdjrnqf
s	w	bmgws	bmgsw
l	p	pjlm	ljpm
l	k	kwtbdlvzjf	lwtbdkvzjf
l	n	nwgxjmlk	lwgxjmnk
g	f	pvmjgf	pvmjfg
s	m	gktsfmnbxhlzcw	gktmfsnbxhlzcw
d	b	bwd	dwb
l	p	klrp	kprl
r	l	plrz	prlz
w	h	gfxhwkt	gfxwhkt
k	s	skw	ksw
w	p	wdcrpzgsb	pdcrwzgsb
q	z	zwqljxcmbs	qwzljxcmbs
w	c	cwq	wcq
v	w	qtbrzdwjv	qtbrzdvjw
b	v	zgvb	zgbv
c	p	pdcz	cdpz
d	q	gqpd	gdpq
q	x	jqxkgdhv	jxqkgdhv
g	b	glbzfktnsj	blgzfktnsj
s	j	xtglwhzsrj	xtglwhzjrs
z	q	rqzdtx	rzqdtx
g	v	pdwgszv	pdwvszg
v	z	vgfmqzdb	zgfmqvdb
t	w	pmwntdsj	pmtnwdsj
c	k	lcfdtkz	lkfdtcz
f	v	vnqfp	fnqvp
m	z	zgmdb	mgzdb
d	m	zjnwmhd	zjnwdhm
s	h	szkhpft	hzkspft
m	k	lmkqcwt	lkmqcwt
l	w	vfpwlbk	vfplwbk
m	z	xsrbtzjm	xsrbtmjz
d	g	gwdxq	dwgxq
j	k	txjbgsk	txkbgsj
p	q	qrbncwspmz	prbncwsqmz
l	x	xvwflpkmr	lvwfxpkmr
b	j	klsbjtc	klsjbtc
v	t	hdktqzrflv	hdkvqzrflt
t	p	pwvt	twvp
r	v	xrvfkwpmgl	xvrfkwpmgl
t	g	hglwtxmk	htlwgxmk
x	p	kcxps	kcpxs
r	n	nmjbr	rmjbn
w	n	trjnwq	trjwnq
k	w	lwsktjfhn	lkswtjfhn
x	d	mzrlksxd	mzrlksdx
p	j	thpjzd	thjpzd
w	x	skmzfxwpb	skmzfwxpb
n	w	wfqn	nfqw
t	m	xmblhft	xtblhfm
d	m	pdm	pmd
x	d	rdxcf	rxdcf
h	v	mhkqv	mvkqh
q	v	vxrqkhnmfpc	qxrvkhnmfpc
n	x	mgrxpfnl	mgrnpfxl
d	v	ndvfw	nvdfw
c	w	zhwcj	zhcwj
l	f	vlfpsh	vflpsh
x	z	tlmqjxz	tlmqjzx
g	n	dxptngv	dxptgnv
x	w	wxltfzg	xwltfzg
h	s	hds	sdh
n	w	pwcdng	pncdwg
m	f	hnvfgljm	hnvmgljf
l	j	bjgklfzncw	blgkjfzncw
k	r	klsnrxh	rlsnkxh
g	l	xgpnlsb	xlpngsb
j	k	pnjsk	pnksj
p	z	pkz	zkp
l	v	flv	fvl
d	q	mhqsxd	mhdsxq
r	n	dkbnwxr	dkbrwxn
b	l	vsbqlr	vslqbr
n	j	bjn	bnj
f	v	lsfvdwckhxpm	lsvfdwckhxpm
g	k	kdgtrmxfj	gdktrmxfj
z	s	jvnzls	jvnslz
z	x	zxjwc	xzjwc
f	j	gjxnf	gfxnj
c	k	zhkrwc	zhcrwk
m	h	mhcbp	hmcbp
f	q	czfhdqgpl	czqhdfgpl
c	v	zmcsfhv	zmvsfhc
b	m	csmb	csbm
q	p	qpsc	pqsc
b	r	rlbs	blrs
m	f	mdbpkfh	fdbpkmh
l	q	dklq	dkql
z	q	zqm	qzm
n	z	qkxbpncmhz	qkxbpzcmhn
d	r	dfkgbmr	rfkgbmd
k	h	kpwxhnl	hpwxknl
f	w	slwqnbf	slfqnbw
t	r	qmvtrs	qmvrts
v	r	trvgkcd	tvrgkcd
n	t	ztkn	znkt
w	d	pwdrc	pdwrc
j	v	psjvw	psvjw
n	x	nxfd	xnfd
s	t	wznst	wznts
w	d	dvwhb	wvdhb
b	v	xjvmbfrh	xjbmvfrh
x	m	jmgzbwxqkhl	jxgzbwmqkhl
h	w	mprkgwqh	mprkghqw
k	f	xfnskpq	xknsfpq
z	v	rkvz	rkzv
q	f	cnfqb	cnqfb
s	j	cqjpsh	cqspjh
j	r	jrvhfd	rjvhfd
s	t	gjsnbrzt	gjtnbrzs
p	m	qpwmbt	qmwpbt
b	p	bpftlvr	pbftlvr
r	v	vrdq	rvdq
k	s	snwkgpxjrdv	knwsgpxjrdv
t	w	ldtmvswz	ldwmvstz
n	j	pnmjbz	pjmnbz
f	v	fjvlg	vjflg
n	h	fhlngbq	fnlhgbq
s	t	swtvlbgjqn	twsvlbgjqn
