input1	input2	label
l	ljdk	jdk
w	wcgkt	cgkt
v	qbvdmhkz	qbdmhkz
k	rkmtpwdbz	rmtpwdbz
k	bglczqk	bglczq
r	mrpqfcd	mpqfcd
b	tpvb	tpv
s	vpsgm	vpgm
q	qmvz	mvz
c	vlcxqs	vlxqs
r	prfgwk	pfgwk
s	sbpt	bpt
w	kqblgwvt	kqblgvt
t	mjrgdlbwhczt	mjrgdlbwhcz
q	qtw	tw
h	hrgvqzxl	rgvqzxl
q	gcrbqvx	gcrbvx
d	rpfmnlsd	rpfmnls
t	bptxcqv	bpxcqv
t	shxtwjd	shxwjd
g	szwhgj	szwhj
x	rmxzctb	rmzctb
v	hrbvlmgzx	hrblmgzx
z	lxzrpn	lxrpn
l	vhxlcgq	vhxcgq
t	kqtlcv	kqlcv
t	htmc	hmc
x	fvrphx	fvrph
t	bphwt	bphw
b	htcxnrwpb	htcxnrwp
x	ndjftvxmr	ndjftvmr
h	bhsz	bsz
t	ktgcws	kgcws
c	jcdkr	jdkr
x	bnxcrp	bncrp
n	bqwfcndv	bqwfcdv
q	qpmgbx	pmgbx
b	xqmwtbsf	xqmwtsf
g	qdg	qd
j	xkjtb	xktb
k	nkdsj	ndsj
s	jtsx	jtx
b	wbzmrx	wzmrx
m	mpqjfv	pqjfv
k	hcjmdkbg	hcjmdbg
z	jfbzwg	jfbwg
w	zrtw	zrt
l	mstfjql	mstfjq
n	xjkqncmv	xjkqcmv
l	plbct	pbct
z	jzmblfcdwgqh	jmblfcdwgqh
t	xljwzt	xljwz
p	zkp	zk
v	krpsjwbgmv	krpsjwbgm
q	qjzrx	jzrx
q	nxkqvchdp	nxkvchdp
d	djgk	jgk
n	hnbg	hbg
d	cmd	cm
k	knw	nw
r	hzbdr	hzbd
w	rjtw	rjt
k	nsjk	nsj
w	pwxrfkbq	pxrfkbq
c	hxwc	hxw
v	vgsln	gsln
v	hvdnct	hdnct
c	cqnzgjdkxhv	qnzgjdkxhv
c	cjg	jg
h	qbrgzvxwlhpdfk	qbrgzvxwlpdfk
f	fpz	pz
q	rxhzmqtdfb	rxhzmtdfb
j	qvjmwf	qvmwf
b	bjtgnxm	jtgnxm
b	nbvsdp	nvsdp
x	tzxjspl	tzjspl
d	hkqdzt	hkqzt
z	zxdk	xdk
x	xpljzfg	pljzfg
d	tdcbgm	tcbgm
q	jfmvcqsprg	jfmvcsprg
d	hbsztd	hbszt
b	gkxbn	gkxn
p	tskhmpnz	tskhmnz
v	smfdzvln	smfdzln
h	nxkhfjtcs	nxkfjtcs
q	kfqxstvgrznpd	kfxstvgrznpd
h	mdzhqlk	mdzqlk
g	frsvbkg	frsvbk
p	qpj	qj
j	pdwbj	pdwb
t	tjbqnx	jbqnx
l	spkbvjhl	spkbvjh
p	gqrcphkvmxj	gqrchkvmxj
x	rqpgwxmb	rqpgwmb
z	lxbthkz	lxbthk
h	qdlhx	qdlx
v	bqkmrfpv	bqkmrfp
x	svxkpqzjc	svkpqzjc
l	fglx	fgx
p	wpfr	wfr
s	wqlstndj	wqltndj
p	zqgp	zqg
t	whtg	whg
h	gsjhzxk	gsjzxk
c	rwvknzc	rwvknz
f	xfdpw	xdpw
d	jdzgb	jzgb
d	pxsdw	pxsw
z	vxz	vx
m	tmzsf	tzsf
k	qbkldm	qbldm
w	btfvjmdwn	btfvjmdn
x	qpdcx	qpdc
m	mwvz	wvz
c	msvlcn	msvln
k	jzkxvs	jzxvs
c	xctsb	xtsb
v	prnsbxzvq	prnsbxzq
d	dhsjk	hsjk
t	tspxm	spxm
t	ftjq	fjq
x	lxvpgc	lvpgc
w	lrwvqbp	lrvqbp
x	sqbxkz	sqbkz
s	qhzlfgjdst	qhzlfgjdt
l	dmzpbfl	dmzpbf
j	nmvcjw	nmvcw
j	szwkptbdfj	szwkptbdf
f	txlrhvjqmf	txlrhvjqm
w	cpvmnxkwh	cpvmnxkh
w	gwf	gf
l	jztvnl	jztvn
q	cwhgqvjk	cwhgvjk
t	vkdnrmt	vkdnrm
q	mqnrbjlvt	mnrbjlvt
s	sprqk	prqk
x	pxfdwk	pfdwk
p	gzltpmqb	gzltmqb
k	zptkrldmns	zptrldmns
b	tdkbxn	tdkxn
z	xbkztq	xbktq
f	fgnkhc	gnkhc
f	tfvmzrxs	tvmzrxs
d	zswrgdvt	zswrgvt
f	vfr	vr
t	ldwbtng	ldwbng
b	tbh	th
h	vhtcm	vtcm
j	wcghqdsxkjrb	wcghqdsxkrb
w	fpxjw	fpxj
c	mbc	mb
p	cfwkxvtpq	cfwkxvtq
n	xnvlmfc	xvlmfc
v	jpdvgmkwqr	jpdgmkwqr
j	xsfbzqrjn	xsfbzqrn
r	wzrn	wzn
l	jvsqlg	jvsqg
c	rhbc	rhb
v	btnqswzv	btnqswz
q	rsgqh	rsgh
j	slhcjqx	slhcqx
h	sfljh	sflj
r	rnvcqs	nvcqs
x	tphjzdnx	tphjzdn
s	wpgbjsdqmckr	wpgbjdqmckr
z	zvjnlsk	vjnlsk
l	slwnzb	swnzb
z	xzb	xb
z	znhmwcld	nhmwcld
f	hcljfnz	hcljnz
r	rltphxdsmz	ltphxdsmz
d	cbdsjnqv	cbsjnqv
x	vtxgfq	vtgfq
k	kwhfpqcj	whfpqcj
r	hqrb	hqb
n	tgnwpfjmkqxbd	tgwpfjmkqxbd
l	ngclpw	ngcpw
b	bmrztwv	mrztwv
f	nxtqwfgjp	nxtqwgjp
b	bnsp	nsp
f	trfwh	trwh
r	mfrbdkv	mfbdkv
n	knvf	kvf
l	rgjxbckshzl	rgjxbckshz
w	wcr	cr
f	fwgxkqt	wgxkqt
w	wzfbt	zfbt
m	sjcmqhb	sjcqhb
x	dvxpgn	dvpgn
s	qjsvfrc	qjvfrc
j	vjdhqxz	vdhqxz
x	wkmx	wkm
p	tkwnp	tkwn
z	zcgstdkl	cgstdkl
j	znsj	zns
w	dbhvw	dbhv
s	msbkwnhdjl	mbkwnhdjl
n	mxbncd	mxbcd
z	bszv	bsv
l	vjlb	vjb
s	jxpsckzw	jxpckzw
b	wkbrz	wkrz
t	kstnrbcfzh	ksnrbcfzh
j	qgwjsvftd	qgwsvftd
r	skrmb	skmb
z	dztghvfn	dtghvfn
k	xbqmkr	xbqmr
k	nclkr	nclr
d	xpljdv	xpljv
s	pzgjsdl	pzgjdl
b	vzgwbsf	vzgwsf
h	gldjvwhxt	gldjvwxt
q	cnzqhvrt	cnzhvrt
s	dpmsq	dpmq
c	cmkswzfh	mkswzfh
v	vtc	tc
b	gbmrfx	gmrfx
p	fwxdjplc	fwxdjlc
s	gdsxchwtmjn	gdxchwtmjn
n	wxthdgznr	wxthdgzr
v	cmjgvsz	cmjgsz
s	ksnd	knd
n	cxvhgzdnp	cxvhgzdp
n	lvtnx	lvtx
w	jwxd	jxd
t	dswltnc	dswlnc
x	qnhbdxv	qnhbdv
t	stvcr	svcr
j	wgdcpfrmjxk	wgdcpfrmxk
q	qwvxp	wvxp
d	bvkhwdxfczgr	bvkhwxfczgr
v	nqtvk	nqtk
d	wvkmdn	wvkmn
m	kxqnmds	kxqnds
d	rxdsqz	rxsqz
s	wmlzkfjs	wmlzkfj
j	fmzgrskqdwxj	fmzgrskqdwx
w	dzjw	dzj
h	jhf	jf
l	lgn	gn
h	qhdgrlwpj	qdgrlwpj
d	dghm	ghm
p	hjp	hj
d	jrnwldm	jrnwlm
b	xbkjw	xkjw
j	hjr	hr
r	lhr	lh
n	hngdb	hgdb
g	qgrlmwh	qrlmwh
k	wgljkcfs	wgljcfs
v	qvf	qf
f	lsbdfz	lsbdz
d	dvqlfh	vqlfh
v	xhvcsgjtd	xhcsgjtd
w	zlsfbpjnwm	zlsfbpjnm
l	lvnb	vnb
l	lvw	vw
f	grlpsfw	grlpsw
s	gsprqhktl	gprqhktl
x	xdfgwh	dfgwh
c	zbrcl	zbrl
q	chsbqrgv	chsbrgv
w	jwhq	jhq
v	fpnrv	fpnr
n	fntzd	ftzd
s	jsg	jg
g	bzcgmt	bzcmt
p	vdknsp	vdkns
m	klpdhmc	klpdhc
h	mhtk	mtk
p	crlfwjhp	crlfwjh
q	qwcm	wcm
h	whfxn	wfxn
k	fkpqbth	fpqbth
g	vcgnz	vcnz
c	xqvcks	xqvks
p	tkphl	tkhl
m	swhtmjn	swhtjn
q	xjqrcmpn	xjrcmpn
h	mwjh	mwj
v	rpxdvb	rpxdb
v	fvsgw	fsgw
r	lwrhmfcgdv	lwhmfcgdv
s	ptmws	ptmw
d	hjsnvd	hjsnv
w	gwlcskmzjtx	glcskmzjtx
f	gfbnslp	gbnslp
p	rsdtp	rsdt
n	vqbcwmnp	vqbcwmp
d	gsdjvqz	gsjvqz
c	cwmvrzn	wmvrzn
q	thxfnqc	thxfnc
j	jrhx	rhx
f	krptzcfw	krptzcw
z	gzmbdsjx	gmbdsjx
b	bpzq	pzq
m	mpqfcz	pqfcz
h	hvlpt	vlpt
v	bghxdqv	bghxdq
b	blspdt	lspdt
x	fvxchmt	fvchmt
q	jrkghfndq	jrkghfnd
l	tlwgvbs	twgvbs
s	xpntgqfsdvc	xpntgqfdvc
s	sqtxklzcbw	qtxklzcbw
d	nlzbthvxwfkdgm	nlzbthvxwfkgm
r	rndcqbvptw	ndcqbvptw
h	hmds	mds
n	nqcfb	qcfb
t	rglht	rglh
b	jlpqbczhnmf	jlpqczhnmf
g	gsdb	sdb
z	hkzgvnqfc	hkgvnqfc
q	lpqtn	lptn
b	hbc	hc
j	tcljgfzk	tclgfzk
n	mjgktnf	mjgktf
w	kqwgh	kqgh
v	zvwqgslfmkx	zwqgslfmkx
q	hfdsqvzr	hfdsvzr
b	bnlq	nlq
k	vkwbqglhmd	vwbqglhmd
h	chvtbkmz	cvtbkmz
d	kbdwpmq	kbwpmq
z	vsrxnlzt	vsrxnlt
w	jswxlzvmcg	jsxlzvmcg
x	xsdvkhmtl	sdvkhmtl
f	frcd	rcd
d	mwqztphd	mwqztph
q	gnkbql	gnkbl
w	kwtq	ktq
d	dvb	vb
s	szjt	zjt
p	nwpbsxjq	nwbsxjq
f	gmzf	gmz
d	ndxmf	nxmf
g	zfmgsv	zfmsv
t	fxgtqvb	fxgqvb
l	gdhfmzlw	gdhfmzw
z	tvzkdmcrlqwbp	tvkdmcrlqwbp
b	fwb	fw
x	nhwsxt	nhwst
r	pnrswtk	pnswtk
k	gtkczsm	gtczsm
r	krtpbn	ktpbn
q	hskbqjgr	hskbjgr
h	htm	tm
q	jzkrqlch	jzkrlch
w	qwblhk	qblhk
l	cwbln	cwbn
x	dzrnx	dzrn
d	xdmjsh	xmjsh
v	nhfvxc	nhfxc
v	ngsvk	ngsk
z	bvszxrcd	bvsxrcd
p	dlkptfm	dlktfm
g	kbghtlz	kbhtlz
x	xrwl	rwl
d	ldxv	lxv
s	gwrlstv	gwrltv
p	psjh	sjh
d	crlgpvd	crlgpv
h	gwbhzvfxc	gwbzvfxc
w	kfhwcv	kfhcv
c	cgjp	gjp
l	qlfxcbd	qfxcbd
p	vtgkp	vtgk
w	mhwrgsnd	mhrgsnd
q	vsq	vs
p	kdbgxqrzlwtpvm	kdbgxqrzlwtvm
l	vlmg	vmg
l	fwlm	fwm
r	xhrdqgpf	xhdqgpf
p	zsdwxpv	zsdwxv
n	jqkpgdmznt	jqkpgdmzt
g	trpxglk	trpxlk
w	pgltxw	pgltx
p	pxvdzns	xvdzns
m	bmtgcjp	btgcjp
j	jsfr	sfr
c	xbdjpvzkct	xbdjpvzkt
z	pxzdqgk	pxdqgk
r	rfc	fc
j	bcsnjp	bcsnp
b	nqrjb	nqrj
b	qhbrwkmt	qhrwkmt
t	xmft	xmf
f	frsnxwvk	rsnxwvk
n	bcpnx	bcpx
p	pbgtsfdx	bgtsfdx
l	cpfhl	cpfh
s	snqtkwhgblp	nqtkwhgblp
p	kxpf	kxf
g	gdbzcx	dbzcx
d	dpxscvl	pxscvl
z	vfkjxzrb	vfkjxrb
n	vnjcpgfk	vjcpgfk
z	bzfj	bfj
f	tfkzrmwn	tkzrmwn
n	cgzvmndtql	cgzvmdtql
j	jszmxk	szmxk
d	wshdtr	wshtr
r	rpqfksvmc	pqfksvmc
r	zkr	zk
x	jlhwcvxmnkr	jlhwcvmnkr
n	mdpngbc	mdpgbc
l	xtflq	xtfq
c	mcnzxlkgp	mnzxlkgp
v	qvpsjx	qpsjx
t	swvtlb	swvlb
h	vrhdsx	vrdsx
h	hjp	jp
f	bcjlsf	bcjls
r	pzrtlhbnjf	pztlhbnjf
x	xvzdwngmtkf	vzdwngmtkf
v	jvbts	jbts
b	zgflcmrb	zgflcmr
w	wjzdbmlh	jzdbmlh
r	srg	sg
r	kjwrbc	kjwbc
b	kphb	kph
g	gpjczmh	pjczmh
p	vngpq	vngq
t	jmhrstdn	jmhrsdn
x	tndvlbfxm	tndvlbfm
w	gxqmwk	gxqmk
q	qrmvph	rmvph
b	xvbg	xvg
f	lgdfpzhr	lgdpzhr
v	nrjmbv	nrjmb
f	vdmrwpfjkz	vdmrwpjkz
f	zpfkjdqwbl	zpkjdqwbl
k	gmfk	gmf
v	qnvfg	qnfg
q	bhgvjrwq	bhgvjrw
b	pvtqlxzbkh	pvtqlxzkh
j	wshj	wsh
l	lfsbq	fsbq
m	bdhm	bdh
r	trv	tv
c	cxqgnh	xqgnh
z	pncxhfz	pncxhf
w	dvrlwt	dvrlt
t	sbzvtwd	sbzvwd
d	dnthzm	nthzm
w	wcj	cj
z	dhzqwv	dhqwv
n	qgjnvl	qgjvl
c	khzdcpj	khzdpj
b	mhlspb	mhlsp
v	qtcnmpzkhvj	qtcnmpzkhj
s	thscxwl	thcxwl
g	fgvd	fvd
r	zvr	zv
n	dnfhpj	dfhpj
t	fjnt	fjn
r	xkczpjnrdqm	xkczpjndqm
h	xqchsdfv	xqcsdfv
f	wtvfd	wtvd
g	qcsrgkhfj	qcsrkhfj
c	gthlxzscdrwq	gthlxzsdrwq
s	lsm	lm
z	rwnzfst	rwnfst
d	skdpzr	skpzr
j	xjsqc	xsqc
b	wbhxjv	whxjv
p	lpj	lj
g	qhxpgfl	qhxpfl
z	zblrdpj	blrdpj
m	qnhmzb	qnhzb
w	wbsc	bsc
p	msrvhpn	msrvhn
g	xmcpgqnw	xmcpqnw
p	mpbl	mbl
w	nqbdws	nqbds
l	qztmfl	qztmf
p	pksqz	ksqz
b	jzfcvwmb	jzfcvwm
c	dchbfn	dhbfn
m	znmtrqxvh	zntrqxvh
g	gfhvqd	fhvqd
m	pmgj	pgj
g	cpsgk	cpsk
h	wsmhq	wsmq
w	hmlscnfxwvgpj	hmlscnfxvgpj
q	psqmk	psmk
x	lhxfd	lhfd
z	jmzfl	jmfl
d	tfxwldjkq	tfxwljkq
m	zrmjg	zrjg
j	msgdnzkxjt	msgdnzkxt
r	cxrzdtl	cxzdtl
k	nkvxrbw	nvxrbw
g	gwfzdkh	wfzdkh
t	ghcrtkx	ghcrkx
r	dcsfr	dcsf
r	hcrs	hcs
m	cgrm	cgr
z	dnlfzv	dnlfv
d	mqjnlphd	mqjnlph
f	mwtfqrkv	mwtqrkv
d	dkzvct	kzvct
b	nbg	ng
f	sfltx	sltx
f	wjrcgf	wjrcg
f	hxfdglsc	hxdglsc
n	snj	sj
n	snbvqzlxkgd	sbvqzlxkgd
m	tdkmsv	tdksv
g	gbhxmvk	bhxmvk
m	prqmgl	prqgl
j	mqkjzcdhgp	mqkzcdhgp
r	qvgr	qvg
w	cpklwns	cpklns
c	clkbmsd	lkbmsd
g	wgnvthzpm	wnvthzpm
m	wbxnrczlmg	wbxnrczlg
s	lzsg	lzg
z	mgzp	mgp
t	xtd	xd
x	chxmq	chmq
k	cxmwsjplkv	cxmwsjplv
b	bmfw	mfw
b	jbpqcml	jpqcml
g	vpg	vp
s	spgv	pgv
r	pqrtgncxfjhl	pqtgncxfjhl
t	mhtsqpw	mhsqpw
m	sxvm	sxv
m	mvgkblp	vgkblp
p	kpmhwvr	kmhwvr
b	rwkcb	rwkc
f	splcgdhfbjw	splcgdhbjw
k	dbvkcx	dbvcx
j	pjs	ps
p	lxwpsvt	lxwsvt
r	rqhkxdcb	qhkxdcb
z	kzrlp	krlp
d	mwgxfdb	mwgxfb
d	sdhzmbxk	shzmbxk
k	xrsbtck	xrsbtc
h	kptzdhs	kptzds
q	wqlf	wlf
z	ctzxp	ctxp
g	dvg	dv
c	hnxcw	hnxw
g	jghlqzs	jhlqzs
r	gxrq	gxq
x	xfwnqhdtl	fwnqhdtl
f	snjdfcm	snjdcm
w	nxktvbw	nxktvb
w	pqwtnd	pqtnd
l	cwld	cwd
q	vrlzbqcn	vrlzbcn
q	wqg	wg
s	jslvmr	jlvmr
w	xljwnqzmgf	xljnqzmgf
f	fzq	zq
m	vmbzlgdnx	vbzlgdnx
r	mvwnbgdjsrk	mvwnbgdjsk
h	xhvgw	xvgw
p	zjpn	zjn
w	mvkrgpwntx	mvkrgpntx
s	tkxdmszq	tkxdmzq
v	nvdsxg	ndsxg
g	gvkshmdcjxptlq	vkshmdcjxptlq
v	bxv	bx
b	xpbv	xpv
j	fkjm	fkm
x	mgxqbfs	mgqbfs
m	hmt	ht
r	cdglzrnjt	cdglznjt
l	scvxpgljnq	scvxpgjnq
b	mrb	mr
z	xwjmvznrg	xwjmvnrg
f	npjf	npj
q	qlhs	lhs
w	xwlp	xlp
p	spjrtzvq	sjrtzvq
m	sqztmfdvkc	sqztfdvkc
x	jtrplsxdbm	jtrplsdbm
l	xkgjlz	xkgjz
w	gnkwlsr	gnklsr
d	dfbtwgcs	fbtwgcs
q	wrxvqmnz	wrxvmnz
x	hbtcxlq	hbtclq
b	tfbgw	tfgw
m	szmkp	szkp
w	zhxvswn	zhxvsn
g	ktpbfgv	ktpbfv
z	hxdzrwm	hxdrwm
w	dpnzswx	dpnzsx
t	vjzqdntg	vjzqdng
z	qzvdn	qvdn
l	nglmxsc	ngmxsc
m	lmdpqbjkwc	ldpqbjkwc
s	drmzgfbqs	drmzgfbq
l	nflsqrw	nfsqrw
p	gbjlvptkmd	gbjlvtkmd
x	xlvz	lvz
t	tfsmkdzhpb	fsmkdzhpb
s	zjsbplqx	zjbplqx
d	vdwnl	vwnl
h	cnhmd	cnmd
n	vzsnbr	vzsbr
j	ztvwsjmdf	ztvwsmdf
p	hvxqnkfp	hvxqnkf
q	hcqsxl	hcsxl
w	npwdjrckh	npdjrckh
h	mhtz	mtz
t	ljgwktp	ljgwkp
c	tch	th
g	xgjhv	xjhv
w	pcmbw	pcmb
k	kqvsfzmpbnj	qvsfzmpbnj
q	nspcrqgv	nspcrgv
f	tqxjf	tqxj
s	tvsfq	tvfq
v	cvswbd	cswbd
g	gqsznpw	qsznpw
m	nmlhbdf	nlhbdf
s	rkzgjxs	rkzgjx
b	pbd	pd
m	dxrlmh	dxrlh
v	vcbfxpwn	cbfxpwn
w	znjdrwhglq	znjdrhglq
c	mczltbv	mzltbv
g	fptwgxj	fptwxj
z	rhwzm	rhwm
z	dsz	ds
h	nhp	np
t	krtwls	krwls
z	tqvznxk	tqvnxk
p	gcpsbf	gcsbf
n	nds	ds
d	hwqcjzndrlmv	hwqcjznrlmv
n	gxwpbdsnv	gxwpbdsv
b	gsbpkf	gspkf
z	zkctw	kctw
s	kqrfs	kqrf
h	shkcxb	skcxb
k	vzskw	vzsw
d	txpsmdfzh	txpsmfzh
j	dwbfjch	dwbfch
g	vqzg	vqz
q	jqgv	jgv
n	znsl	zsl
f	srgbnfx	srgbnx
s	bmsk	bmk
l	klc	kc
t	hrdwgkltxb	hrdwgklxb
t	jthvnsp	jhvnsp
l	ljbcgvq	jbcgvq
d	xdjhcbs	xjhcbs
j	sdfcpj	sdfcp
g	gxvqzjb	xvqzjb
w	xwmh	xmh
b	wxbvk	wxvk
b	hcgxb	hcgx
x	kxdl	kdl
j	wmdqj	wmdq
q	nkdrq	nkdr
h	bqrwnhmx	bqrwnmx
k	kxdcmjfslpz	xdcmjfslpz
j	vfwhngjt	vfwhngt
f	skfjwdl	skjwdl
k	kljf	ljf
x	vqjxk	vqjk
d	drfhtx	rfhtx
v	rvncst	rncst
x	vxbmqfkg	vbmqfkg
d	mgdtjb	mgtjb
j	tlqjwhk	tlqwhk
l	mlvj	mvj
k	lrfmnkwcjbs	lrfmnwcjbs
l	jktblqpx	jktbqpx
c	mdcfnx	mdfnx
p	hlpvt	hlvt
v	jbtsvqh	jbtsqh
q	sjrzmvqcgl	sjrzmvcgl
m	kznsplmq	kznsplq
p	hsgwxvprldjcz	hsgwxvrldjcz
x	xrkfwls	rkfwls
k	dwfxkzh	dwfxzh
w	xdpqzw	xdpqz
p	fkgpw	fkgw
b	sgnbw	sgnw
z	nrszfjwv	nrsfjwv
x	jxvsch	jvsch
b	rmfzbn	rmfzn
q	cxkdqz	cxkdz
f	tqfrdm	tqrdm
b	hbjz	hjz
r	drfvnl	dfvnl
q	ftxdqls	ftxdls
v	kvhmpzb	khmpzb
x	cdvlnx	cdvln
f	wrdqzvf	wrdqzv
k	qckwjg	qcwjg
j	sltcjwhqvn	sltcwhqvn
b	gxvbz	gxvz
l	jdml	jdm
l	mnxprcgfvl	mnxprcgfv
z	sfzl	sfl
x	wtxv	wtv
v	jfzdkcpvmwl	jfzdkcpmwl
r	zpcrqgbv	zpcqgbv
f	gxbcsvfrp	gxbcsvrp
d	tmvdnflp	tmvnflp
w	xzbwmrj	xzbmrj
g	gkrtlz	krtlz
t	vjzgkt	vjzgk
p	ptqxgczvrj	tqxgczvrj
w	zwpxfj	zpxfj
t	qsxctzdwh	qsxczdwh
h	pxfkvctnrh	pxfkvctnr
q	cwjxq	cwjx
w	gkxbwcrn	gkxbcrn
n	wmnprjd	wmprjd
b	lpbrdnxjz	lprdnxjz
c	rzcp	rzp
g	nzlhgfpjvsc	nzlhfpjvsc
b	bfvz	fvz
x	xjdstzfhvkpbl	jdstzfhvkpbl
f	fhxczrs	hxczrs
q	hbmlqw	hbmlw
x	jxnhtvqcsf	jnhtvqcsf
x	ckzxp	ckzp
b	jrb	jr
w	lskmwbzx	lskmbzx
l	mtdxqpglr	mtdxqpgr
z	lcjhzdn	lcjhdn
r	rstqxwh	stqxwh
b	sfbkzvnrx	sfkzvnrx
l	dlqjtkfbpv	dqjtkfbpv
t	tsgfkrjxz	sgfkrjxz
f	blf	bl
x	kwvxt	kwvt
j	bscljdr	bscldr
q	zbvmdkqn	zbvmdkn
j	bgcjvdt	bgcvdt
f	fnr	nr
v	jwlv	jwl
r	zlwr	zlw
g	xcgzwnrmbjkt	xczwnrmbjkt
g	jxfsnkg	jxfsnk
c	wvkcjm	wvkjm
f	ksf	ks
q	mtflrqdb	mtflrdb
s	sbt	bt
s	sbzjl	bzjl
n	sknpdtjg	skpdtjg
p	sbjgp	sbjg
c	ckmqjv	kmqjv
j	cpgj	cpg
k	tpkm	tpm
f	nfcrvw	ncrvw
d	mjdw	mjw
h	xwstmdfnkh	xwstmdfnk
w	bvwp	bvp
n	mrgnfb	mrgfb
t	tzmvhpdf	zmvhpdf
p	plq	lq
p	wbpx	wbx
c	vclgxhw	vlgxhw
w	tdwshkn	tdshkn
n	mtrphxnzwq	mtrphxzwq
z	frpzxlms	frpxlms
d	rsgftpd	rsgftp
d	dxzp	xzp
w	zdnptkbfsxrw	zdnptkbfsxr
z	qcrjzwm	qcrjwm
w	wzmpc	zmpc
r	ltrpnzkq	ltpnzkq
f	dnfjk	dnjk
s	srt	rt
k	kvf	vf
m	bndrkqvjm	bndrkqvj
k	svkgl	svgl
z	zrbhjtgm	rbhjtgm
f	jntwfs	jntws
z	zntvj	ntvj
m	brgwcm	brgwc
m	mph	ph
d	xtfdnlmw	xtfnlmw
n	lmpcrqng	lmpcrqg
m	kftmzcnqvl	kftzcnqvl
k	zfnk	zfn
k	ztfqlkjghn	ztfqljghn
d	vdpgmtkzxsnqc	vpgmtkzxsnqc
f	lwftcrns	lwtcrns
p	hpzvj	hzvj
q	qptkshg	ptkshg
s	lmnzsd	lmnzd
m	bwfmj	bwfj
b	wspvgb	wspvg
g	xgd	xd
q	vjhsbfq	vjhsbf
l	clxpqwv	cxpqwv
z	fzcxv	fcxv
f	ncpszrdft	ncpszrdt
x	zqxfrjn	zqfrjn
x	pdxvlbm	pdvlbm
n	pnrjz	prjz
g	cgzhspd	czhspd
g	tvpzsgjfh	tvpzsjfh
t	rpbwxtjdn	rpbwxjdn
z	frmz	frm
x	hkmx	hkm
f	zkxmf	zkxm
k	hfkmt	hfmt
w	fjrdwl	fjrdl
k	brshckpzxj	brshcpzxj
t	xtn	xn
k	vrgzkdl	vrgzdl
m	gdtmkjr	gdtkjr
l	fhgljzr	fhgjzr
j	nhklxjrm	nhklxrm
s	nsfmqclt	nfmqclt
w	qhwcp	qhcp
z	rnfpzgx	rnfpgx
v	svxkcfjblt	sxkcfjblt
w	zjnxwdb	zjnxdb
z	klzhv	klhv
v	vnms	nms
t	qtfr	qfr
q	qlhcdpbt	lhcdpbt
s	jrlpxgwsqn	jrlpxgwqn
h	gfmphc	gfmpc
