input1	input2	label
t	authors	Yes
u	boards	No
f	faculty	Yes
t	parties	Yes
f	fish	Yes
s	membership	Yes
m	mission	Yes
z	eye	No
i	string	Yes
n	sense	Yes
i	modified	Yes
k	pack	Yes
h	released	No
t	stage	Yes
a	internal	Yes
u	goods	No
d	recommended	Yes
w	born	No
r	unless	No
f	richard	No
t	detailed	Yes
g	japanese	No
l	race	No
a	approved	Yes
j	background	No
d	target	No
i	except	No
i	character	No
n	usb	No
i	maintenance	Yes
y	ability	Yes
z	maybe	No
t	functions	Yes
y	moving	No
h	brands	No
c	places	Yes
z	php	No
t	pretty	Yes
c	trademarks	No
n	phentermine	Yes
m	spain	No
v	southern	No
g	yourself	No
c	etc	Yes
i	winter	Yes
c	rape	No
r	battery	Yes
l	youth	No
o	pressure	No
t	submitted	Yes
n	boston	Yes
j	incest	No
b	debt	Yes
t	keywords	No
j	medium	No
g	television	No
d	interested	Yes
q	core	No
q	break	No
r	purposes	Yes
f	throughout	No
t	sets	Yes
z	dance	No
l	wood	No
c	msn	No
c	itself	No
t	defined	No
h	papers	No
j	playing	No
t	awards	No
f	fee	Yes
s	studio	Yes
k	reader	No
e	virtual	No
c	device	Yes
t	established	Yes
r	answers	Yes
c	rent	No
a	las	Yes
m	remote	Yes
a	dark	Yes
m	programming	Yes
r	external	Yes
z	apple	No
h	regarding	No
y	instructions	No
r	min	No
d	offered	Yes
n	theory	No
j	enjoy	Yes
g	remove	No
o	aid	No
w	surface	No
p	minimum	No
e	visual	No
t	host	Yes
t	variety	Yes
k	teachers	No
n	isbn	Yes
a	martin	Yes
u	manual	Yes
c	block	Yes
j	subjects	Yes
b	agents	No
d	increased	Yes
e	repair	Yes
i	fair	Yes
i	civil	Yes
s	steel	Yes
g	understanding	Yes
g	songs	Yes
f	fixed	Yes
k	wrong	No
g	beginning	Yes
k	hands	No
e	associates	Yes
i	finally	Yes
c	updates	No
d	desktop	Yes
a	classes	Yes
i	paris	Yes
p	ohio	No
h	gets	No
i	sector	No
a	capacity	Yes
q	requires	Yes
x	jersey	No
g	fat	No
b	fully	No
f	father	Yes
l	electric	Yes
w	saw	Yes
i	instruments	Yes
t	quotes	Yes
a	officer	No
n	driver	No
u	businesses	Yes
d	dead	Yes
h	respect	No
u	unknown	Yes
a	specified	No
z	restaurant	No
m	mike	Yes
p	trip	Yes
w	pst	No
d	worth	No
b	procedures	No
e	poor	No
b	teacher	No
k	xxx	No
v	eyes	No
u	relationship	No
v	workers	No
l	farm	No
b	fucking	No
h	georgia	No
p	peace	Yes
z	traditional	No
m	campus	Yes
v	tom	No
w	showing	Yes
b	creative	No
u	coast	No
e	benefit	Yes
r	progress	Yes
d	funding	Yes
v	devices	Yes
l	lord	Yes
r	grant	Yes
j	sub	No
d	agree	No
v	fiction	No
h	hear	Yes
r	sometimes	No
d	watches	No
l	careers	No
n	beyond	Yes
g	goes	Yes
z	families	No
l	led	Yes
d	museum	No
g	themselves	No
w	fan	No
a	transport	Yes
s	interesting	Yes
g	blogs	Yes
i	wife	Yes
a	evaluation	Yes
q	accepted	No
x	former	No
r	implementation	No
w	ten	No
y	hits	No
r	zone	No
i	complex	No
j	cat	No
s	galleries	Yes
e	references	Yes
t	die	No
b	presented	No
c	jack	Yes
f	flat	Yes
l	flow	Yes
f	agencies	No
k	literature	No
z	respective	No
m	parent	No
k	spanish	No
n	michigan	Yes
l	columbia	Yes
s	setting	Yes
f	scale	No
d	stand	Yes
o	economy	Yes
a	highest	No
j	helpful	No
e	monthly	No
d	critical	No
x	frame	No
a	musical	Yes
i	definition	Yes
z	secretary	No
s	angeles	Yes
n	networking	Yes
h	path	Yes
a	australian	Yes
m	employee	Yes
c	chief	Yes
f	gives	No
o	bottom	Yes
d	magazines	No
w	packages	No
f	detail	No
n	francisco	Yes
b	laws	No
v	changed	No
p	pet	Yes
e	heard	Yes
t	begin	No
q	individuals	No
o	colorado	Yes
d	royal	No
z	clean	No
i	switch	Yes
j	russian	No
o	largest	No
z	african	No
u	guy	Yes
t	titles	Yes
v	relevant	Yes
d	guidelines	Yes
l	justice	No
g	connect	No
p	bible	No
e	dev	Yes
v	cup	No
d	basket	No
r	applied	No
e	weekly	Yes
p	vol	No
i	installation	Yes
g	described	No
x	demand	No
u	suite	Yes
d	vegas	No
j	square	No
u	chris	No
n	attention	Yes
x	advance	No
s	skip	Yes
a	diet	No
y	army	Yes
u	auction	Yes
f	gear	No
d	lee	No
a	difference	No
d	allowed	Yes
t	correct	Yes
r	charles	Yes
l	nation	No
l	selling	Yes
l	lots	Yes
p	piece	Yes
v	sheet	No
o	firm	No
l	seven	No
l	older	Yes
v	illinois	No
g	regulations	Yes
n	elements	Yes
k	species	No
p	jump	Yes
p	cells	No
w	module	No
r	resort	Yes
c	facility	Yes
m	random	Yes
i	pricing	Yes
q	dvds	No
c	certificate	Yes
m	minister	Yes
c	motion	No
o	looks	Yes
q	fashion	No
z	directions	No
h	visitors	No
n	documentation	Yes
t	monitor	Yes
a	trading	Yes
t	forest	Yes
e	calls	No
h	whose	Yes
m	coverage	No
z	couple	No
t	giving	No
o	chance	No
h	vision	No
l	ball	Yes
e	ending	Yes
i	clients	Yes
a	actions	Yes
s	listen	Yes
u	discuss	Yes
g	accept	No
m	automotive	Yes
k	naked	Yes
g	goal	Yes
q	successful	No
q	sold	No
w	wind	Yes
c	communities	Yes
a	clinical	Yes
t	situation	Yes
c	sciences	Yes
t	markets	Yes
e	lowest	Yes
r	highly	No
y	publishing	No
i	appear	No
h	emergency	No
a	developing	No
d	lives	No
z	currency	No
u	leather	No
n	determine	Yes
o	milf	No
c	temperature	No
m	palm	Yes
k	announcements	No
a	patient	Yes
u	actual	Yes
n	historical	No
n	stone	Yes
b	bob	Yes
e	commerce	Yes
r	ringtones	Yes
h	perhaps	Yes
o	persons	Yes
t	difficult	Yes
n	scientific	Yes
t	satellite	Yes
f	fit	Yes
t	tests	Yes
f	village	No
u	accounts	Yes
o	amateur	No
t	met	Yes
i	pain	Yes
y	xbox	No
d	particularly	No
t	factors	Yes
o	coffee	Yes
w	www	Yes
h	settings	No
e	cum	No
x	buyer	No
u	cultural	Yes
u	steve	No
l	easily	Yes
q	oral	No
d	ford	Yes
k	poster	No
g	edge	Yes
o	functional	Yes
n	root	No
e	closed	Yes
l	holidays	Yes
v	ice	No
p	pink	Yes
u	zealand	No
c	balance	Yes
s	monitoring	No
r	graduate	Yes
d	replies	No
n	shot	No
a	architecture	Yes
a	initial	Yes
a	label	Yes
l	thinking	No
y	scott	No
c	llc	Yes
u	sec	No
a	recommend	No
u	canon	No
g	hardcore	No
g	league	Yes
h	waste	No
q	minute	No
u	bus	Yes
n	provider	No
y	optional	No
i	dictionary	Yes
o	cold	Yes
c	accounting	Yes
w	manufacturing	No
n	sections	Yes
g	chair	No
l	fishing	No
k	effort	No
e	phase	Yes
c	fields	No
b	bag	Yes
u	fantasy	No
g	letters	No
t	motor	Yes
n	professor	No
n	context	Yes
g	install	No
s	shirt	Yes
c	apparel	No
j	generally	No
o	continued	Yes
t	foot	Yes
m	mass	Yes
q	crime	No
u	count	Yes
a	breast	Yes
h	techniques	Yes
d	ibm	No
j	johnson	Yes
l	quickly	Yes
l	dollars	Yes
x	websites	No
l	religion	Yes
m	claim	Yes
r	driving	Yes
m	permission	Yes
d	surgery	No
y	patch	No
a	heat	Yes
h	wild	No
a	measures	Yes
w	generation	No
s	kansas	Yes
i	miss	Yes
z	chemical	No
t	doctor	Yes
g	task	No
c	reduce	Yes
g	brought	Yes
s	himself	Yes
r	nor	Yes
u	component	No
o	enable	No
k	exercise	No
n	bug	No
s	santa	Yes
h	mid	No
r	guarantee	Yes
d	leader	Yes
m	diamond	Yes
f	israel	No
p	processes	Yes
o	soft	Yes
e	servers	Yes
q	alone	No
r	meetings	No
u	seconds	No
z	jones	No
q	arizona	No
r	keyword	Yes
y	interests	No
l	flight	Yes
r	congress	Yes
i	fuel	No
n	username	Yes
l	walk	Yes
a	fuck	No
d	produced	Yes
l	italian	Yes
c	paperback	Yes
j	classifieds	No
s	wait	No
o	supported	Yes
b	pocket	No
w	saint	No
v	rose	No
x	freedom	No
y	argument	No
p	competition	Yes
b	creating	No
m	jim	Yes
h	drugs	No
n	joint	Yes
r	premium	Yes
i	providers	Yes
s	fresh	Yes
s	characters	Yes
t	attorney	Yes
a	upgrade	Yes
d	factor	No
w	growing	Yes
u	thousands	Yes
r	stream	Yes
i	apartments	No
b	pick	No
a	hearing	Yes
d	eastern	No
d	auctions	No
o	therapy	No
j	entries	No
e	dates	Yes
t	generated	Yes
x	signed	No
o	upper	No
s	administrative	Yes
o	serious	Yes
w	prime	No
x	samsung	No
p	limit	No
n	began	Yes
o	louis	Yes
z	steps	No
r	errors	Yes
p	shops	Yes
g	bondage	Yes
t	del	No
n	efforts	No
d	informed	Yes
i	thoughts	No
c	creek	Yes
i	worked	No
u	quantity	Yes
o	urban	No
v	practices	No
j	sorted	No
i	reporting	Yes
f	essential	No
f	myself	Yes
q	tours	No
j	platform	No
k	load	No
l	affiliate	Yes
a	labor	Yes
a	immediately	Yes
d	admin	Yes
s	nursing	Yes
s	defense	Yes
a	machines	Yes
p	designated	No
a	tags	Yes
q	heavy	No
i	covered	No
c	recovery	Yes
e	joe	Yes
u	guys	Yes
o	integrated	No
r	configuration	Yes
c	cock	Yes
a	merchant	Yes
p	comprehensive	Yes
e	expert	Yes
i	universal	Yes
y	protect	No
o	drop	Yes
l	solid	Yes
n	cds	No
g	presentation	No
g	languages	Yes
p	became	No
h	orange	No
h	compliance	No
e	vehicles	Yes
g	prevent	No
e	theme	Yes
o	rich	No
h	campaign	No
u	marine	No
j	improvement	No
i	guitar	Yes
x	finding	No
f	pennsylvania	No
s	examples	Yes
x	ipod	No
a	saying	Yes
t	spirit	Yes
s	claims	Yes
o	porno	Yes
g	challenge	Yes
g	motorola	No
d	acceptance	No
r	strategies	Yes
m	seem	Yes
x	affairs	No
b	touch	No
e	intended	Yes
f	towards	No
l	goals	Yes
u	hire	No
n	election	Yes
g	suggest	Yes
b	branch	Yes
b	charges	No
r	serve	Yes
d	affiliates	No
k	reasons	No
z	magic	No
z	mount	No
l	smart	No
k	talking	Yes
g	gave	Yes
e	ones	Yes
i	latin	Yes
d	multimedia	Yes
d	tits	No
q	avoid	No
e	certified	Yes
j	manage	No
r	corner	Yes
j	rank	No
v	computing	No
o	oregon	Yes
e	element	Yes
j	birth	No
c	virus	No
t	abuse	No
z	interactive	No
c	requests	No
v	separate	No
l	quarter	No
o	procedure	Yes
c	leadership	No
b	tables	Yes
t	define	No
r	racing	Yes
o	religious	Yes
f	facts	Yes
l	breakfast	No
o	kong	Yes
x	column	No
q	plants	No
o	faith	No
a	chain	Yes
q	developer	No
l	identify	No
n	avenue	Yes
w	missing	No
z	died	No
i	approximately	Yes
a	domestic	No
l	sitemap	No
j	recommendations	No
m	moved	Yes
c	houston	No
i	reach	No
m	comparison	Yes
a	mental	Yes
w	viewed	Yes
g	moment	No
b	extended	No
j	sequence	No
n	inch	Yes
b	attack	No
g	sorry	No
y	centers	No
w	opening	No
u	damage	No
j	lab	No
s	reserve	Yes
d	recipes	No
u	cvs	No
s	gamma	No
s	plastic	Yes
u	produce	Yes
w	snow	Yes
z	placed	No
u	truth	Yes
o	counter	Yes
l	failure	Yes
r	follows	No
e	weekend	Yes
a	dollar	Yes
p	camp	Yes
t	ontario	Yes
u	automatically	Yes
q	des	No
g	minnesota	No
k	films	No
t	bridge	No
h	native	No
i	fill	Yes
s	williams	Yes
n	movement	Yes
l	printing	No
a	baseball	Yes
d	owned	Yes
v	approval	Yes
s	draft	No
r	chart	Yes
q	played	No
z	contacts	No
j	jesus	Yes
v	readers	No
c	clubs	Yes
n	lcd	No
x	jackson	No
b	equal	No
d	adventure	Yes
t	matching	Yes
f	offering	Yes
r	shirts	Yes
o	profit	Yes
d	leaders	Yes
t	posters	Yes
t	institutions	Yes
u	assistant	No
z	variable	No
j	ave	No
s	advertisement	Yes
t	expect	Yes
l	parking	No
e	headlines	Yes
w	yesterday	No
k	compared	No
y	determined	No
n	wholesale	No
p	workshop	Yes
r	russia	Yes
e	gone	Yes
t	codes	No
n	kinds	Yes
s	extension	Yes
m	seattle	No
c	statements	No
l	golden	Yes
j	completely	No
t	teams	Yes
t	fort	Yes
h	lighting	Yes
f	senate	No
j	forces	No
z	funny	No
n	brother	No
v	gene	No
d	turned	Yes
s	portable	No
d	tried	Yes
n	electrical	No
c	applicable	Yes
y	disc	No
u	returned	Yes
j	pattern	No
e	hentai	Yes
o	boat	Yes
l	named	No
k	theatre	No
q	laser	No
b	earlier	No
k	manufacturers	No
r	sponsor	Yes
a	classical	Yes
v	icon	No
i	warranty	No
c	dedicated	Yes
d	indiana	Yes
a	direction	No
k	harry	No
l	basketball	Yes
s	objects	Yes
n	ends	Yes
t	delete	Yes
v	evening	Yes
d	assembly	No
c	nuclear	Yes
c	taxes	No
z	mouse	No
i	signal	Yes
y	criminal	No
x	issued	No
l	brain	No
u	sexual	Yes
z	wisconsin	No
j	powerful	No
e	dream	Yes
w	obtained	No
t	false	No
c	cast	Yes
o	flower	Yes
l	felt	Yes
b	personnel	No
r	passed	No
c	supplied	No
i	identified	Yes
e	falls	No
i	pic	Yes
v	soul	No
i	aids	Yes
p	opinions	Yes
m	promote	Yes
s	stated	Yes
h	stats	No
n	hawaii	No
f	professionals	Yes
t	appears	No
w	carry	No
o	flag	No
t	decided	No
a	covers	No
g	advantage	Yes
d	hello	No
l	designs	No
m	maintain	Yes
f	tourism	No
o	priority	Yes
k	newsletters	No
r	adults	No
i	clips	Yes
v	savings	Yes
u	graphic	No
p	atom	No
z	payments	No
d	estimated	Yes
b	binding	Yes
z	brief	No
c	ended	No
g	winning	Yes
h	eight	Yes
s	anonymous	Yes
n	iron	Yes
h	straight	Yes
i	script	Yes
v	served	Yes
s	wants	Yes
e	miscellaneous	Yes
v	prepared	No
o	void	Yes
q	dining	No
r	alert	Yes
a	integration	Yes
r	atlanta	No
a	dakota	Yes
t	tag	Yes
e	interview	Yes
i	mix	Yes
x	framework	No
s	disk	Yes
w	installed	No
n	queen	Yes
s	vhs	Yes
y	credits	No
c	clearly	Yes
m	fix	No
l	handle	Yes
s	sweet	Yes
k	desk	Yes
r	criteria	Yes
m	pubmed	Yes
j	dave	No
t	massachusetts	Yes
d	diego	Yes
h	hong	Yes
c	vice	Yes
t	associate	Yes
a	truck	No
j	behavior	No
i	enlarge	No
l	ray	No
l	frequently	Yes
q	revenue	No
h	measure	No
r	changing	No
o	votes	Yes
c	duty	No
o	looked	Yes
y	discussions	No
u	bear	No
m	gain	No
e	festival	Yes
t	laboratory	Yes
u	ocean	No
b	flights	No
u	experts	No
g	signs	Yes
c	lack	Yes
m	depth	No
l	iowa	No
v	whatever	Yes
w	logged	No
r	laptop	No
n	vintage	Yes
b	train	No
l	exactly	Yes
d	dry	Yes
p	explore	Yes
n	maryland	Yes
a	spa	Yes
d	concept	No
l	nearly	Yes
g	eligible	Yes
t	checkout	Yes
l	reality	Yes
l	forgot	No
s	handling	No
g	origin	Yes
f	knew	No
m	gaming	Yes
z	feeds	No
w	billion	No
t	destination	Yes
s	scotland	Yes
p	faster	No
h	intelligence	No
a	dallas	Yes
r	bought	No
j	con	No
s	ups	Yes
z	nations	No
k	route	No
j	followed	No
n	specifications	Yes
q	broken	No
v	tripadvisor	Yes
o	frank	No
o	alaska	No
g	zoom	No
g	blow	No
b	battle	Yes
w	residential	No
m	anime	Yes
a	speak	Yes
c	decisions	Yes
r	industries	Yes
g	protocol	No
h	query	No
x	clip	No
r	partnership	Yes
x	editorial	No
x	expression	Yes
d	equity	No
s	provisions	Yes
r	speech	No
r	wire	Yes
r	principles	Yes
l	suggestions	No
d	rural	No
s	shared	Yes
t	sounds	No
m	replacement	Yes
e	tape	Yes
c	strategic	Yes
m	judge	No
m	spam	Yes
x	economics	No
d	acid	Yes
e	bytes	Yes
t	cent	Yes
f	forced	Yes
a	compatible	Yes
o	fight	No
e	apartment	Yes
l	height	No
l	null	Yes
e	zero	Yes
t	speaker	No
i	filed	Yes
r	netherlands	Yes
t	obtain	Yes
b	consulting	No
v	recreation	No
r	offices	No
r	designer	Yes
r	remain	Yes
a	managed	Yes
a	failed	Yes
l	marriage	No
e	roll	No
e	korea	Yes
w	banks	No
i	participants	Yes
u	secret	No
g	bath	No
x	kelly	No
d	leads	Yes
n	negative	Yes
t	austin	Yes
t	favorites	Yes
o	toronto	Yes
h	theater	Yes
h	springs	No
y	missouri	No
t	andrew	No
x	var	No
f	perform	Yes
q	healthy	No
i	translation	Yes
i	estimates	Yes
q	font	No
t	assets	Yes
z	injury	No
q	joseph	No
t	ministry	Yes
r	drivers	Yes
n	lawyer	No
p	figures	No
r	married	Yes
o	protected	Yes
e	proposal	No
x	sharing	No
k	philadelphia	No
r	portal	Yes
j	waiting	No
q	birthday	No
t	beta	Yes
y	fail	No
a	gratis	Yes
b	banking	Yes
m	officials	No
s	brian	No
o	toward	Yes
n	won	Yes
h	slightly	Yes
t	assist	Yes
z	conduct	No
d	contained	Yes
r	lingerie	Yes
g	shemale	No
w	legislation	No
g	calling	Yes
f	parameters	No
j	jazz	Yes
r	serving	Yes
g	bags	Yes
k	profiles	No
g	miami	No
t	comics	No
r	matters	Yes
s	houses	Yes
d	doc	Yes
a	postal	Yes
d	relationships	No
a	tennessee	No
e	wear	Yes
x	controls	No
e	breaking	Yes
m	combined	Yes
d	ultimate	No
l	wales	Yes
a	representative	Yes
v	frequency	No
i	introduced	Yes
p	minor	No
n	finish	Yes
t	departments	Yes
c	residents	No
n	noted	Yes
b	displayed	No
p	mom	No
r	reduced	Yes
i	physics	Yes
l	rare	No
a	spent	No
h	performed	No
x	extreme	Yes
p	samples	Yes
r	davis	No
x	daniel	No
j	bars	No
q	reviewed	No
v	row	No
f	forecast	Yes
w	removed	No
z	helps	No
r	singles	No
t	administrator	Yes
j	cycle	No
o	amounts	Yes
f	contain	No
c	accuracy	Yes
n	dual	No
z	rise	No
j	usd	No
e	sleep	Yes
d	bird	Yes
f	pharmacy	No
p	brazil	No
e	creation	Yes
t	static	Yes
d	scene	No
g	hunter	No
q	addresses	No
y	lady	Yes
t	crystal	Yes
o	famous	Yes
z	writer	No
i	chairman	Yes
n	violence	Yes
j	fans	No
x	oklahoma	No
k	speakers	Yes
g	drink	No
z	academy	No
a	dynamic	Yes
g	gender	Yes
a	eat	Yes
n	permanent	Yes
z	agriculture	No
e	dell	Yes
u	cleaning	No
n	constitutes	Yes
f	portfolio	Yes
l	practical	Yes
v	delivered	Yes
s	collectibles	Yes
c	infrastructure	Yes
u	exclusive	Yes
k	seat	No
a	concerns	No
u	colour	Yes
d	vendor	Yes
o	originally	Yes
u	intel	No
d	utilities	No
l	philosophy	Yes
g	regulation	Yes
j	officers	No
n	reduction	Yes
m	aim	Yes
h	bids	No
r	referred	Yes
t	supports	Yes
o	nutrition	Yes
t	recording	No
m	regions	No
q	junior	No
l	toll	Yes
x	les	No
e	cape	Yes
n	ann	Yes
n	rings	Yes
k	meaning	No
e	tip	No
d	secondary	Yes
f	wonderful	Yes
i	mine	Yes
a	ladies	Yes
e	henry	Yes
q	ticket	No
n	announced	Yes
u	guess	Yes
e	agreed	Yes
x	prevention	No
m	whom	Yes
p	ski	No
q	soccer	No
m	math	Yes
d	import	No
d	posting	No
c	presence	Yes
g	instant	No
m	mentioned	Yes
c	automatic	Yes
k	healthcare	No
i	viewing	Yes
a	maintained	Yes
i	increasing	Yes
z	majority	No
b	connected	No
n	christ	No
j	dan	No
d	dogs	Yes
r	directors	Yes
e	aspects	Yes
l	austria	No
d	ahead	Yes
o	moon	Yes
s	participation	No
o	scheme	No
y	utility	Yes
f	preview	No
z	fly	No
e	manner	Yes
t	matrix	Yes
i	containing	Yes
b	combination	Yes
x	devel	No
d	amendment	Yes
s	despite	Yes
h	strength	Yes
l	guaranteed	No
j	turkey	No
t	libraries	No
m	proper	No
r	distributed	Yes
e	degrees	Yes
a	singapore	Yes
l	enterprises	No
d	delta	Yes
r	fear	Yes
