input1	input2	input3	label
n	k	lvrndtzbp	lvrkdtzbp
r	z	thcpbjfrlsgxd	thcpbjfzlsgxd
g	x	fstqrgk	fstqrxk
k	h	kpzhvml	hpzhvml
n	l	fvn	fvl
s	i	stlxz	itlxz
v	l	vmbrjp	lmbrjp
q	l	cbkhqtdw	cbkhltdw
l	f	dbpxmktglvh	dbpxmktgfvh
b	s	vnthkgbr	vnthkgsr
k	m	rknglmz	rmnglmz
s	z	xstbf	xztbf
t	o	chjvpmtq	chjvpmoq
w	g	pjhqwtknc	pjhqgtknc
k	v	nfkj	nfvj
r	g	vrkh	vgkh
l	n	nwrldgjx	nwrndgjx
p	j	qtpw	qtjw
v	c	zvtw	zctw
c	n	wcskqtx	wnskqtx
c	f	qclktnv	qflktnv
l	j	ldfgq	jdfgq
q	v	tkqcb	tkvcb
n	l	cnjwb	cljwb
n	f	pnv	pfv
h	n	wphkb	wpnkb
c	c	scmrqj	scmrqj
k	s	szpjmvnkb	szpjmvnsb
s	o	sfkzr	ofkzr
w	q	fhzw	fhzq
g	i	rvzpgw	rvzpiw
s	b	vzlbsr	vzlbbr
f	l	dfpkh	dlpkh
c	b	tndcfkhrz	tndbfkhrz
j	o	hjlpc	holpc
d	j	zvdcj	zvjcj
b	k	hbgf	hkgf
q	h	zhfcqx	zhfchx
b	n	jmvqxbl	jmvqxnl
w	u	vxqjwg	vxqjug
g	a	fbnlqvzdjg	fbnlqvzdja
g	u	hxdmgbl	hxdmubl
j	l	wdkhqj	wdkhql
x	s	zphmrxktgw	zphmrsktgw
f	b	zfvnmxgpqk	zbvnmxgpqk
t	o	sdpthbvnz	sdpohbvnz
t	o	tdb	odb
z	c	fkljzc	fkljcc
c	d	wpqrxcfk	wpqrxdfk
q	z	vqfzdbj	vzfzdbj
b	y	zkqvchbgd	zkqvchygd
l	h	hmvlc	hmvhc
g	u	lgchtv	luchtv
v	n	kmfvjrzs	kmfnjrzs
d	d	klxnwfpmbd	klxnwfpmbd
r	l	dzfrqc	dzflqc
n	f	zjsrnw	zjsrfw
c	s	qtcdgb	qtsdgb
g	b	hjklgqzf	hjklbqzf
w	x	nfjptbmw	nfjptbmx
b	o	bkf	okf
d	c	pmnvqdj	pmnvqcj
k	l	qzk	qzl
p	y	kplbn	kylbn
z	b	qmgbkxdhszln	qmgbkxdhsbln
q	u	qtzwk	utzwk
k	d	wmk	wmd
z	e	mzwcphfgd	mewcphfgd
n	n	wrxjpnm	wrxjpnm
k	l	vwrgmkthqp	vwrgmlthqp
c	v	ckqtdhwgx	vkqtdhwgx
h	l	jqlh	jqll
s	g	bqwpsc	bqwpgc
l	v	lnxr	vnxr
c	y	hgfpltjc	hgfpltjy
p	h	pmgsn	hmgsn
p	i	pzsbdqw	izsbdqw
m	e	wvdms	wvdes
j	e	bmjxts	bmexts
q	z	qhmgxzvp	zhmgxzvp
n	z	nrvpqjmlcxfg	zrvpqjmlcxfg
x	k	xqntlbg	kqntlbg
p	h	pczljf	hczljf
h	r	hkz	rkz
h	z	qznmgjsh	qznmgjsz
b	m	tzqgnbh	tzqgnmh
d	u	kdwhsprjln	kuwhsprjln
j	a	pbhjvcdx	pbhavcdx
q	v	qvkmlz	vvkmlz
d	l	nwrtxdjp	nwrtxljp
h	h	zhlg	zhlg
h	e	hmwfdtslrbxgq	emwfdtslrbxgq
s	b	lcszqw	lcbzqw
d	g	nbhmwdq	nbhmwgq
d	u	ldtqgxsmv	lutqgxsmv
r	m	zrxb	zmxb
b	h	zcgbm	zcghm
k	h	ckzlsdb	chzlsdb
j	o	szjc	szoc
r	l	vwxlrtpfmcq	vwxlltpfmcq
k	h	ckd	chd
z	w	jhctvdz	jhctvdw
c	t	qgdcf	qgdtf
v	n	vkrsftc	nkrsftc
p	n	npzvfx	nnzvfx
s	q	nhsjbdt	nhqjbdt
q	q	vwqcfbg	vwqcfbg
p	c	xptv	xctv
h	a	kbsgh	kbsga
h	k	zwcdjhxb	zwcdjkxb
q	e	cvrq	cvre
g	x	rsfgp	rsfxp
f	k	twkmdcrnfq	twkmdcrnkq
b	f	bsxdvn	fsxdvn
w	c	wxbs	cxbs
z	f	zxkr	fxkr
h	g	rzvlxjsh	rzvlxjsg
j	e	scvjq	scveq
t	o	vgtjbpkxwf	vgojbpkxwf
k	a	klnvmfxds	alnvmfxds
c	p	vzgct	vzgpt
f	e	cljpgwfq	cljpgweq
d	y	rlcdjf	rlcyjf
g	p	slgbf	slpbf
m	k	pfqhcm	pfqhck
t	e	dhlftqk	dhlfeqk
n	a	hdkvsrn	hdkvsra
q	u	pntrvzqlg	pntrvzulg
q	j	wlxqntvf	wlxjntvf
d	h	zqchd	zqchh
p	t	sndrpkgl	sndrtkgl
c	e	chj	ehj
t	a	jrlgvt	jrlgva
p	r	hpjvntlg	hrjvntlg
h	a	phwkzqsfrld	pawkzqsfrld
h	r	phzwjdgkx	przwjdgkx
z	x	sqncxzh	sqncxxh
k	r	ktqr	rtqr
c	f	fmvhxctsw	fmvhxftsw
g	t	vqgzc	vqtzc
k	x	blkp	blxp
g	n	hgpbqdc	hnpbqdc
v	w	cvdznjp	cwdznjp
b	r	gvbdq	gvrdq
h	m	tqhbzgpnckl	tqmbzgpnckl
l	f	lnjpv	fnjpv
b	b	tbdsvknmjxql	tbdsvknmjxql
m	p	mwrzt	pwrzt
s	z	sgpmnd	zgpmnd
j	n	zmjhgtk	zmnhgtk
m	j	mnqvsw	jnqvsw
t	b	dbgztfmx	dbgzbfmx
t	x	pbndvlqxsctg	pbndvlqxscxg
n	q	wmns	wmqs
v	j	vlh	jlh
r	l	xrt	xlt
r	b	tjrfqlmdv	tjbfqlmdv
d	k	jldp	jlkp
n	y	zdn	zdy
j	i	gjxpmqh	gixpmqh
k	j	pnkjd	pnjjd
m	m	mwj	mwj
m	e	nsm	nse
v	s	gdpvt	gdpst
v	o	lhvgckj	lhogckj
m	q	rzmcnfph	rzqcnfph
d	p	zvd	zvp
f	n	tkvmnf	tkvmnn
j	f	rcqxjl	rcqxfl
v	p	dzqftvrwc	dzqftprwc
p	p	sxfhgpbqmv	sxfhgpbqmv
s	h	ltzs	ltzh
t	n	tzn	nzn
s	k	frsbncw	frkbncw
v	m	lvgdkrfnx	lmgdkrfnx
c	n	csqrjn	nsqrjn
h	l	zfhlk	zfllk
h	m	hxlbvsqf	mxlbvsqf
l	g	lnqr	gnqr
n	l	rhnvb	rhlvb
n	p	snlmh	splmh
j	b	qmj	qmb
r	c	rkqghd	ckqghd
l	j	qplvrn	qpjvrn
l	l	lfmdtjx	lfmdtjx
g	w	mspg	mspw
g	k	hdwjntbg	hdwjntbk
t	b	svzt	svzb
g	w	jdgqk	jdwqk
p	e	zxhtcpm	zxhtcem
d	q	fsvdc	fsvqc
p	b	jtpzrb	jtbzrb
q	s	pdqwc	pdswc
m	w	dlzmfsv	dlzwfsv
c	h	chzqwfmj	hhzqwfmj
p	y	fblp	fbly
h	h	phfgvn	phfgvn
c	w	jcvzn	jwvzn
d	j	wbkdpztqlh	wbkjpztqlh
h	z	qdzlh	qdzlz
x	a	xjhrcf	ajhrcf
z	e	bdkqvxsczrw	bdkqvxscerw
j	g	smxcfvj	smxcfvg
c	t	wczbx	wtzbx
q	o	jwqxzcdp	jwoxzcdp
w	u	xgwcqkf	xgucqkf
l	w	rfkljcz	rfkwjcz
p	o	xjdhkpg	xjdhkog
g	f	pqgt	pqft
d	j	zmthwrsd	zmthwrsj
v	j	zvqphdkg	zjqphdkg
q	g	rdsq	rdsg
g	t	tmvglb	tmvtlb
l	o	ktflv	ktfov
q	e	kzfwqhd	kzfwehd
t	i	lsvmtw	lsvmiw
h	q	blhrmds	blqrmds
l	o	tjbnfldvk	tjbnfodvk
z	m	tnkxzjg	tnkxmjg
w	h	gsqpvjfmzrw	gsqpvjfmzrh
w	i	fwgcnhbvqs	figcnhbvqs
v	k	dtxsnrvzwqchlm	dtxsnrkzwqchlm
x	l	qwxvcjkdlh	qwlvcjkdlh
z	r	pzfk	prfk
l	h	glhnv	ghhnv
m	q	xgbmh	xgbqh
w	v	bfpkswmgqhj	bfpksvmgqhj
w	b	sdnw	sdnb
n	u	ntkdlcrmx	utkdlcrmx
f	n	flnmz	nlnmz
s	a	sdh	adh
l	t	xwblrnds	xwbtrnds
d	j	djtzbhv	jjtzbhv
n	l	ldknb	ldklb
z	i	mzngkrfplsq	mingkrfplsq
t	y	vrkwthbm	vrkwyhbm
j	t	jzmc	tzmc
m	p	cfsxtmjdkb	cfsxtpjdkb
x	p	vtldxwnf	vtldpwnf
c	o	gphczqr	gphozqr
b	f	mztrbqgl	mztrfqgl
c	k	mjzcvrkhws	mjzkvrkhws
l	q	lbhrtwxnk	qbhrtwxnk
c	n	cjqm	njqm
l	v	rcmhltjp	rcmhvtjp
b	g	fbsxhv	fgsxhv
k	s	nkht	nsht
p	a	jps	jas
z	n	fzcb	fncb
f	v	wztnpfbc	wztnpvbc
m	q	jmcw	jqcw
p	z	rnpxg	rnzxg
k	d	kxsvhg	dxsvhg
l	j	ltpgdnm	jtpgdnm
l	d	txpljsvq	txpdjsvq
l	j	tzpbxgcsflwmr	tzpbxgcsfjwmr
f	x	bfr	bxr
p	k	hwjplz	hwjklz
x	h	xbdlvrj	hbdlvrj
b	n	zftbdgp	zftndgp
h	a	hgnskl	agnskl
z	j	zplnxgdh	jplnxgdh
h	b	hrw	brw
d	r	rwdqjshn	rwrqjshn
p	y	pdgvcs	ydgvcs
q	y	qzdln	yzdln
z	q	mpjbz	mpjbq
c	a	bjcfst	bjafst
z	l	bmqzpr	bmqlpr
h	u	chkqt	cukqt
d	q	jdbpkgcf	jqbpkgcf
j	e	gfcjkxn	gfcekxn
q	r	njpqszt	njprszt
z	y	sjzr	sjyr
n	g	smpn	smpg
j	m	tlnbjgp	tlnbmgp
n	k	ptnb	ptkb
z	n	mgkvdsz	mgkvdsn
l	w	xkbfdnmlq	xkbfdnmwq
s	n	sqmzwj	nqmzwj
s	s	zqsm	zqsm
n	u	gzxndqf	gzxudqf
l	w	jhblg	jhbwg
c	g	bhgcndtz	bhggndtz
c	i	qzc	qzi
m	j	rcmblkqpzvxwjn	rcjblkqpzvxwjn
r	b	htzr	htzb
l	v	lwkf	vwkf
m	r	qrcmtnkf	qrcrtnkf
n	f	fvhnkjm	fvhfkjm
w	r	zbpwlrftvn	zbprlrftvn
s	k	csphmbz	ckphmbz
p	n	znxpmb	znxnmb
l	a	lsbrptc	asbrptc
r	g	dgqrcsf	dgqgcsf
k	r	svfk	svfr
m	v	hxrtgbmfqd	hxrtgbvfqd
s	r	zplntks	zplntkr
f	u	fzl	uzl
z	l	bgznpr	bglnpr
k	l	xkrnf	xlrnf
r	l	rvwfjptb	lvwfjptb
k	h	cgqk	cgqh
l	d	gkphtrlj	gkphtrdj
s	f	qphsd	qphfd
h	s	skrzfhlt	skrzfslt
q	k	xqnhf	xknhf
w	r	sbcwxrpfmtz	sbcrxrpfmtz
h	n	shbt	snbt
z	a	bqkwdz	bqkwda
p	r	pxdnlst	rxdnlst
w	y	mkwsfdxb	mkysfdxb
p	p	cpzxkjgm	cpzxkjgm
b	x	cnvb	cnvx
r	z	qwjvrtzx	qwjvztzx
l	v	crqljvtfwx	crqvjvtfwx
j	f	ckdnqj	ckdnqf
w	y	dqlxcw	dqlxcy
d	l	rwpbztdjq	rwpbztljq
b	x	nlb	nlx
q	n	btvzhjpmfgq	btvzhjpmfgn
z	a	qnrlwgz	qnrlwga
n	h	qnkfb	qhkfb
f	u	dbvmfpjth	dbvmupjth
g	s	njkhgm	njkhsm
z	r	pgxzsk	pgxrsk
p	b	rbpwqj	rbbwqj
p	z	pmh	zmh
n	b	jcbnrg	jcbbrg
p	c	hczrkjflmp	hczrkjflmc
m	r	xdgkltzwmvj	xdgkltzwrvj
s	o	wksmn	wkomn
n	g	gtnfbrsp	gtgfbrsp
s	j	dzkmsjxr	dzkmjjxr
s	o	cxs	cxo
j	w	qlgjck	qlgwck
x	o	rmdx	rmdo
p	k	lnvspkb	lnvskkb
j	g	mwsjr	mwsgr
s	p	qfsjvwgz	qfpjvwgz
l	x	qvjrzxnlc	qvjrzxnxc
p	y	mnlqpw	mnlqyw
h	h	mhjgnx	mhjgnx
p	o	pbsz	obsz
p	k	dcwxhplm	dcwxhklm
z	z	zdfhqm	zdfhqm
r	c	sprnhtbdqk	spcnhtbdqk
d	b	bcpfrdtxjl	bcpfrbtxjl
d	v	mdcq	mvcq
k	y	khptl	yhptl
b	c	dmcqsbxp	dmcqscxp
q	s	sgqkrfbvxc	sgskrfbvxc
q	d	qnlr	dnlr
t	f	ljtrw	ljfrw
m	b	wmkv	wbkv
p	y	qhp	qhy
f	j	gsrhfq	gsrhjq
m	a	kcvgmwz	kcvgawz
w	g	zfwlqn	zfglqn
b	d	tbdklrx	tddklrx
r	i	cxjwkr	cxjwki
p	f	mtp	mtf
g	c	lngwrj	lncwrj
g	l	gqrxjt	lqrxjt
d	z	qkdplcx	qkzplcx
d	i	zjsrgd	zjsrgi
h	m	hldptcvbjxn	mldptcvbjxn
x	f	frmdvgx	frmdvgf
h	e	hmbf	embf
x	f	tdx	tdf
d	k	lswfvd	lswfvk
j	l	brhj	brhl
r	o	hgzxrkdnfmv	hgzxokdnfmv
g	i	ksbjvhwg	ksbjvhwi
p	r	mwcpg	mwcrg
q	y	dgrqsjtnc	dgrysjtnc
t	n	tmjdbqfgnpzk	nmjdbqfgnpzk
t	a	tfh	afh
r	k	rchlztn	kchlztn
w	n	dpgwnm	dpgnnm
c	t	dmcxs	dmtxs
d	a	gktcmd	gktcma
x	y	xcr	ycr
n	h	rlctndb	rlcthdb
d	n	sjckmdt	sjckmnt
m	m	nmwbpv	nmwbpv
t	c	tvkd	cvkd
f	s	nfqwmbg	nsqwmbg
z	i	fjzqxbsr	fjiqxbsr
z	e	wqpz	wqpe
c	d	hdbwcl	hdbwdl
p	a	jhtpnz	jhtanz
z	e	kzrwb	kerwb
g	w	glqrzxwh	wlqrzxwh
f	n	frdtzq	nrdtzq
t	v	nvfltdrqh	nvflvdrqh
h	h	rtjznh	rtjznh
n	k	smzn	smzk
z	w	lzknd	lwknd
w	q	wcltz	qcltz
n	v	rdcnvxshmlbkz	rdcvvxshmlbkz
v	n	kfwcv	kfwcn
p	a	pvxdm	avxdm
w	t	wphcr	tphcr
h	k	vtbmqhgrp	vtbmqkgrp
b	n	kbwvx	knwvx
b	i	xfkpqnblhj	xfkpqnilhj
m	m	mpqwfsn	mpqwfsn
k	a	tvpxlkn	tvpxlan
x	h	qwtjzxk	qwtjzhk
q	z	dbqlrzs	dbzlrzs
t	u	gmftj	gmfuj
r	d	rfkh	dfkh
q	u	hqfk	hufk
b	d	xbjgnf	xdjgnf
f	r	vfcgdlrh	vrcgdlrh
s	o	bvtxwnsq	bvtxwnoq
f	e	mqgbfx	mqgbex
h	n	mhk	mnk
w	s	psmwb	psmsb
b	w	bxcsmd	wxcsmd
r	m	rsclzhkn	msclzhkn
p	m	kxp	kxm
x	c	qnhrpwbcdkx	qnhrpwbcdkc
k	b	vkxncs	vbxncs
m	c	nvmjskh	nvcjskh
w	z	zmwkfh	zmzkfh
m	g	wdkpmbrfjs	wdkpgbrfjs
q	x	nqjm	nxjm
p	d	hkpbxmw	hkdbxmw
x	q	ncvtgxs	ncvtgqs
r	i	xpvcbzrls	xpvcbzils
k	c	kvpxqswhcm	cvpxqswhcm
v	j	nvxz	njxz
q	m	qlbw	mlbw
t	h	qtv	qhv
t	k	qtkpv	qkkpv
k	d	jtckfzxwhl	jtcdfzxwhl
t	n	tfgh	nfgh
r	p	zrjnqfp	zpjnqfp
v	n	fvb	fnb
b	j	rkbn	rkjn
v	y	qbjlvhprfsxm	qbjlyhprfsxm
s	r	kgnqcsl	kgnqcrl
c	f	xsvc	xsvf
f	q	tskrmfv	tskrmqv
x	e	slwnzxt	slwnzet
q	m	ndqfg	ndmfg
d	y	rqvjpztbdhk	rqvjpztbyhk
s	q	wszcpk	wqzcpk
h	b	hgq	bgq
n	s	swzcrfn	swzcrfs
m	s	gmnzwsxp	gsnzwsxp
n	s	skmnx	skmsx
j	g	jrntgsv	grntgsv
n	h	hmnxctrg	hmhxctrg
f	i	hdtkfwq	hdtkiwq
c	k	qzcndxf	qzkndxf
p	i	xpkb	xikb
h	a	mtdhw	mtdaw
m	a	tmw	taw
x	u	stmxj	stmuj
t	e	zhwfrtg	zhwfreg
m	z	xqsm	xqsz
j	j	jfvrgsxlq	jfvrgsxlq
x	l	vzpxlnt	vzpllnt
l	r	xfsldzm	xfsrdzm
l	s	kfnlgq	kfnsgq
t	t	nwkt	nwkt
s	e	njcfpxsq	njcfpxeq
h	y	hrc	yrc
b	r	kjfbgd	kjfrgd
d	w	rbjdvclmqz	rbjwvclmqz
l	a	twl	twa
w	e	gpnjfwqhr	gpnjfeqhr
n	i	sdrvhnwglkx	sdrvhiwglkx
j	e	gjzxc	gezxc
h	n	cdhx	cdnx
h	l	kqnglswphx	kqnglswplx
t	q	wrftdbxs	wrfqdbxs
v	z	qbwvjp	qbwzjp
p	b	tfqjvmhcdpwrsl	tfqjvmhcdbwrsl
q	p	hqn	hpn
k	l	kpfn	lpfn
x	t	sklx	sklt
n	c	mwzgfnt	mwzgfct
l	k	xlv	xkv
t	t	jqctfbrnd	jqctfbrnd
j	w	mbgxhvrjpq	mbgxhvrwpq
d	m	dgc	mgc
r	i	dsfhxmcrb	dsfhxmcib
v	q	vzwl	qzwl
r	z	rdfz	zdfz
t	i	tcbj	icbj
s	s	ntmzfpsk	ntmzfpsk
d	y	blwxtvsdkz	blwxtvsykz
x	a	vkwfnrdxqz	vkwfnrdaqz
d	x	gfmdqk	gfmxqk
b	x	vspbwgx	vspxwgx
b	l	sgjbqwcz	sgjlqwcz
r	s	dmhrjxkp	dmhsjxkp
n	z	whqtrnd	whqtrzd
k	o	kgvjw	ogvjw
g	j	hbgpl	hbjpl
x	p	gshxprf	gshpprf
c	z	jcdzphq	jzdzphq
b	s	gtfvncb	gtfvncs
r	d	hrsvgcd	hdsvgcd
p	p	pdkqtvcl	pdkqtvcl
v	x	cvksb	cxksb
v	w	tchgpfv	tchgpfw
j	b	jdvxfscrqb	bdvxfscrqb
j	j	jpgxctrzq	jpgxctrzq
m	n	vpcmwbs	vpcnwbs
w	r	cwrzhmqbsv	crrzhmqbsv
z	t	lfzj	lftj
k	i	fwgkxrnmbc	fwgixrnmbc
k	z	qwmfkpvc	qwmfzpvc
s	w	tcsbl	tcwbl
c	g	gxvrc	gxvrg
t	t	mtpnlv	mtpnlv
b	h	xgbsqrcjh	xghsqrcjh
s	c	xwcvsrkn	xwcvcrkn
j	v	hmljvt	hmlvvt
r	h	mzbvtrcjh	mzbvthcjh
h	l	hkxg	lkxg
h	b	xkzlsht	xkzlsbt
j	r	jmg	rmg
r	d	chlrb	chldb
k	c	sbpdk	sbpdc
n	l	fnkmqgzctxr	flkmqgzctxr
l	w	qflrdxjs	qfwrdxjs
t	k	nthjr	nkhjr
q	g	xstnq	xstng
m	c	swtmrb	swtcrb
w	a	dztsmwp	dztsmap
m	p	lmvnqjh	lpvnqjh
p	j	mwpfsbv	mwjfsbv
z	b	slz	slb
s	w	vgqmsw	vgqmww
n	s	qbmrfnkv	qbmrfskv
q	a	knzpmqstxd	knzpmastxd
j	i	slrcbtj	slrcbti
t	m	scnbxtz	scnbxmz
g	c	xcbgm	xcbcm
k	q	pvk	pvq
p	q	dpr	dqr
n	g	rthgnx	rthggx
s	j	wmxqpsg	wmxqpjg
p	v	scptxg	scvtxg
r	t	bwr	bwt
l	i	dqxlzmrshwpj	dqxizmrshwpj
j	n	jchndbmpf	nchndbmpf
w	o	bxqvwh	bxqvoh
l	y	tlpxs	typxs
t	s	rqnct	rqncs
v	g	tsfnkv	tsfnkg
c	b	chslq	bhslq
c	u	wbrqgpcvm	wbrqgpuvm
t	h	ltvnrgm	lhvnrgm
p	f	fphm	ffhm
d	z	kdmq	kzmq
l	h	bwml	bwmh
c	w	kwjhcbd	kwjhwbd
p	b	zpfs	zbfs
b	o	brp	orp
g	o	xlgswbdvhk	xloswbdvhk
v	y	gpmkvcw	gpmkycw
d	p	kdblhmv	kpblhmv
g	u	vsgczkb	vsuczkb
r	c	dbrmfq	dbcmfq
r	u	vzxshwr	vzxshwu
z	f	zhsc	fhsc
j	g	bjngh	bgngh
r	y	ctqfr	ctqfy
c	k	pcqg	pkqg
c	t	qdpcw	qdptw
n	v	rhnjl	rhvjl
q	n	qknhvcgf	nknhvcgf
x	g	bcskqpwgrzx	bcskqpwgrzg
b	b	wpmbdjgs	wpmbdjgs
l	m	dvrxlfq	dvrxmfq
c	v	mjcn	mjvn
s	d	sdpqx	ddpqx
w	j	gjbqwf	gjbqjf
n	o	qbnzfv	qbozfv
p	x	txbdpksv	txbdxksv
j	l	fgwrsj	fgwrsl
x	a	xmtvslr	amtvslr
v	u	vqsx	uqsx
q	f	lgkzqbpcwtj	lgkzfbpcwtj
d	e	txgvlcfd	txgvlcfe
n	f	xhzpnq	xhzpfq
c	c	cfnlq	cfnlq
q	k	hpjtgzq	hpjtgzk
x	m	nwltjxvkgs	nwltjmvkgs
x	q	vgqflznx	vgqflznq
d	x	sdwxjpbzclvqk	sxwxjpbzclvqk
h	z	tbnvghw	tbnvgzw
c	q	hcwsztg	hqwsztg
t	q	wdftsx	wdfqsx
j	c	vrqgj	vrqgc
b	q	dbqzf	dqqzf
v	q	kbcwfhpv	kbcwfhpq
t	a	rtdzml	radzml
c	j	dspzcw	dspzjw
t	l	cwtdlb	cwldlb
